model; batch_size; layer_1; layer_2; layer_3;
BASAM;64;64;256;256;
BASAM3decr;32;512;256;128;
BASAM512;32;256;256;128;
BASAM512decr;32;512;256;128;
BASAMfixed512;128; 224; 128;64;
BASAMnoscaling;128; 224; 128;64;
BASAMnoscaling512;128;224;128;64;
BASAMmarginpi2;32;224;128;64;
SBSAM;64;64;256;256;
SBSAM3decr; 32; 256; 256; 128;
SBSAM512; 32; 128; 256; 128;
SBSAM512decr; 128; 256; 256; 128;
SBSAMfixed512; 128; 224; 128; 64;
SBSAMnoscaling; 512; 224; 128; 64;
SBSAMnoscaling512; 64; 224; 128; 64;
SBSAMmarginpi2; 32;224;128;64;
BAED; 64; 64; 256; 256;
BAED3decr; 32; 256; 256; 128;
BAED512; 64; 64; 256; 256;
BAED512decr; 32; 256; 256; 128;
BAEDfixed512; 128; 224; 128; 64;
BAEDotsu; 32;224;128;64;
SBED; 64; 64; 256; 256;
SBED3decr; 32; 256; 256; 128;
SBED512; 64; 64; 256; 256;
SBED512decr; 32; 256; 256; 128;
SBEDfixed512; 128; 224; 128; 64;
SBEDotsu; 32;224;128;64;

