Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 96, 20, 0.039908, 0.048863, 0.039908, 0.004427, 64, 0.368585, 0.325898, 13, 8, 4, 0.976031, 1747, 778902, 1976, 17195, 0.179084, 0.942253, 6440, 104743, 4200, 2614, 0.242848
1, 39, 15, 0.054199, 0.060384, 0.054199, 0.003900, 128, 0.418333, 0.456415, 13, 8, 4, 0.965005, 559, 771271, 9607, 18383, 0.109831, 0.923303, 5896, 103051, 5892, 3158, 0.127901
2, 38, 25, 0.044842, 0.055510, 0.044842, 0.003443, 256, 0.487909, 0.144331, 13, 8, 4, 0.623186, 8818, 489619, 291259, 10124, 0.026771, 0.939253, 6345, 104484, 4459, 2709, 0.184137
3, 58, 38, 0.036789, 0.046110, 0.036789, 0.000358, 256, 0.206331, 0.242223, 13, 8, 4, 0.670952, 12271, 524370, 256508, 6671, 0.066796, 0.957948, 6576, 106459, 2484, 2478, 0.241919
4, 65, 25, 0.043308, 0.054977, 0.043308, 0.008726, 128, 0.187318, 0.291916, 13, 8, 4, 0.732769, 10784, 575299, 205579, 8158, 0.086707, 0.956507, 6213, 106652, 2291, 2841, 0.210730
5, 125, 14, 0.054059, 0.060345, 0.054059, 0.004311, 32, 0.344185, 0.263950, 13, 8, 4, 0.973145, 2168, 776173, 4705, 16774, 0.100499, 0.949694, 6307, 105754, 3189, 2747, 0.118625
6, 31, 12, 0.030160, 0.034079, 0.030160, 0.004700, 128, 0.166757, 0.052654, 13, 8, 4, 0.964680, 5293, 766277, 14601, 13649, 0.117225, 0.960830, 6655, 106720, 2223, 2399, 0.342117
7, 326, 36, 0.028803, 0.032361, 0.028803, 0.000292, 32, 0.129493, 0.041067, 13, 8, 4, 0.774799, 11789, 607911, 172967, 7153, 0.101761, 0.965296, 6773, 107129, 1814, 2281, 0.346085
8, 33, 21, 0.037642, 0.046303, 0.037642, 0.002335, 256, 0.221877, 0.454251, 13, 8, 4, 0.757330, 11432, 594296, 186582, 7510, 0.089353, 0.947685, 6564, 105260, 3683, 2490, 0.246310
9, 136, 15, 0.030279, 0.034904, 0.030279, 0.005705, 32, 0.046130, 0.104711, 13, 8, 4, 0.912146, 10872, 718681, 62197, 8070, 0.197601, 0.956389, 7263, 105588, 3355, 1791, 0.319761
10, 405, 45, 0.044470, 0.049624, 0.044470, 0.000360, 32, 0.255310, 0.146762, 13, 8, 4, 0.957389, 2648, 763091, 17787, 16294, 0.061371, 0.958228, 6582, 106486, 2457, 2472, 0.176873
11, 42, 28, 0.043042, 0.054408, 0.043042, 0.003263, 256, 0.472874, 0.375116, 13, 8, 4, 0.976397, 1123, 779819, 1059, 17819, 0.176360, 0.942075, 6162, 105000, 3943, 2892, 0.204011
12, 19, 12, 0.043339, 0.055932, 0.043339, 0.007371, 256, 0.188121, 0.352663, 13, 8, 4, 0.640399, 8184, 504020, 276858, 10758, 0.078875, 0.937575, 6429, 104202, 4741, 2625, 0.206074
13, 26, 17, 0.049050, 0.055912, 0.049050, 0.009717, 256, 0.355115, 0.229613, 13, 8, 4, 0.660976, 10187, 518475, 262403, 8755, 0.081461, 0.950600, 6297, 105871, 3072, 2757, 0.155696
14, 42, 16, 0.044006, 0.052264, 0.044006, 0.009563, 128, 0.443487, 0.034351, 13, 8, 4, 0.958037, 7070, 759187, 21691, 11872, 0.048796, 0.948872, 6453, 105511, 3432, 2601, 0.181577
15, 26, 26, 0.052155, 0.052354, 0.052155, 0.006509, 512, 0.456281, 0.093042, 13, 8, 4, 0.971221, 2792, 774010, 6868, 16150, 0.076627, 0.953592, 6181, 106340, 2603, 2873, 0.129570
16, 380, 42, 0.037593, 0.048797, 0.037593, 0.006346, 32, 0.005545, 0.445918, 13, 8, 4, 0.711966, 10935, 558510, 222368, 8007, 0.098077, 0.950473, 6528, 105625, 3318, 2526, 0.264233
17, 172, 36, 0.038019, 0.045646, 0.038019, 0.002830, 64, 0.277104, 0.408997, 13, 8, 4, 0.973080, 5176, 773113, 7765, 13766, 0.159278, 0.942990, 6583, 104687, 4256, 2471, 0.246646
18, 76, 16, 0.030375, 0.035313, 0.030375, 0.002815, 64, 0.182012, 0.113995, 13, 8, 4, 0.931573, 9863, 735228, 45650, 9079, 0.094525, 0.956668, 7142, 105742, 3201, 1912, 0.313778
19, 80, 17, 0.055241, 0.060718, 0.055241, 0.009472, 64, 0.270755, 0.249880, 13, 8, 4, 0.973457, 2376, 776214, 4664, 16566, 0.104429, 0.950448, 6165, 105985, 2958, 2889, 0.115416
20, 80, 31, 0.028467, 0.030652, 0.028467, 0.001160, 128, 0.095720, 0.005956, 13, 8, 4, 0.849185, 11165, 668030, 112848, 7777, 0.156892, 0.964575, 6488, 107329, 1614, 2566, 0.379608
21, 26, 26, 0.027165, 0.030358, 0.027165, 0.001564, 512, 0.107166, 0.012361, 13, 8, 4, 0.762978, 12928, 597317, 183561, 6014, 0.114717, 0.967762, 6606, 107587, 1356, 2448, 0.381589
22, 20, 20, 0.027668, 0.028109, 0.027668, 0.001583, 512, 0.098660, 0.000243, 13, 8, 4, 0.609385, 12026, 475372, 305506, 6916, 0.190681, 0.966609, 6646, 107411, 1532, 2408, 0.370916
23, 34, 34, 0.030988, 0.037197, 0.030988, 0.001462, 512, 0.068401, 0.195812, 13, 8, 4, 0.762354, 10849, 598897, 181981, 8093, 0.168306, 0.960601, 6608, 106740, 2203, 2446, 0.327505
24, 35, 34, 0.025937, 0.027572, 0.025937, 0.001756, 512, 0.021688, 0.005906, 13, 8, 4, 0.593797, 11881, 463050, 317828, 7061, 0.178961, 0.969279, 6791, 107581, 1362, 2263, 0.406006
25, 20, 20, 0.035054, 0.043266, 0.035054, 0.002047, 512, 0.003063, 0.188539, 13, 8, 4, 0.652747, 12739, 509341, 271537, 6203, 0.079055, 0.958160, 6264, 106796, 2147, 2790, 0.291838
26, 48, 48, 0.028399, 0.032941, 0.028399, 0.000969, 512, 0.038970, 0.067249, 13, 8, 4, 0.718902, 11763, 563229, 217649, 7179, 0.239641, 0.967592, 6658, 107515, 1428, 2396, 0.351498
27, 18, 18, 0.028475, 0.031532, 0.028475, 0.002201, 512, 0.131834, 0.012720, 13, 8, 4, 0.878643, 11329, 691427, 89451, 7613, 0.098230, 0.965864, 6639, 107330, 1613, 2415, 0.361964
28, 32, 32, 0.037891, 0.040667, 0.037891, 0.000803, 512, 0.311977, 0.164791, 13, 8, 4, 0.972985, 650, 777563, 3315, 18292, 0.219391, 0.943982, 5945, 105442, 3501, 3109, 0.295812
29, 42, 41, 0.029327, 0.032144, 0.029327, 0.005349, 512, 0.002981, 0.084581, 13, 8, 4, 0.959730, 7964, 759647, 21231, 10978, 0.126032, 0.962423, 6963, 106600, 2343, 2091, 0.344957
Best model
{'batch_size': 512, 'dropout_rate': 0.021688034505564113, 'dropout_rate_1': 0.005906230235091076, 'layer': 13, 'layer_1': 8, 'layer_2': 4, 'lr': 0.0017555387736030042}
