Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 105, 11, 0.009877, 0.009912, 0.009877, 0.004427, 64, 0.368585, 0.325898, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
1, 84, 18, 0.009286, 0.009490, 0.009286, 0.003900, 128, 0.418333, 0.456415, 224, 128, 64, 0.988381, 22, 434502, 112, 4996, 0.172036, 0.990458, 30, 87058, 0, 839, 0.371803
2, 62, 18, 0.009323, 0.009491, 0.009323, 0.003443, 256, 0.487909, 0.144331, 224, 128, 64, 0.951507, 2169, 416144, 18470, 2849, 0.021993, 0.919513, 486, 80364, 6694, 383, 0.023097
3, 161, 46, 0.007011, 0.007110, 0.007011, 0.000358, 256, 0.206331, 0.242223, 224, 128, 64, 0.986084, 455, 433059, 1555, 4563, 0.243945, 0.991846, 173, 87037, 21, 696, 0.484590
4, 51, 11, 0.009877, 0.009904, 0.009877, 0.008726, 128, 0.187318, 0.291916, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
5, 146, 11, 0.009877, 0.009896, 0.009877, 0.004311, 32, 0.344185, 0.263950, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
6, 53, 11, 0.009877, 0.009903, 0.009877, 0.004700, 128, 0.166757, 0.052654, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
7, 439, 33, 0.007989, 0.007959, 0.007989, 0.000292, 32, 0.129493, 0.041067, 224, 128, 64, 0.985643, 395, 432925, 1689, 4623, 0.229383, 0.990594, 147, 86953, 105, 722, 0.301373
8, 99, 27, 0.007913, 0.008278, 0.007913, 0.002335, 256, 0.221877, 0.454251, 224, 128, 64, 0.985110, 694, 432392, 2222, 4324, 0.182724, 0.990674, 222, 86885, 173, 647, 0.243814
9, 150, 11, 0.009877, 0.009886, 0.009877, 0.005705, 32, 0.046130, 0.104711, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
10, 378, 28, 0.008359, 0.008491, 0.008359, 0.000360, 32, 0.255310, 0.146762, 224, 128, 64, 0.986043, 285, 433211, 1403, 4733, 0.320254, 0.990731, 117, 86995, 63, 752, 0.393716
11, 94, 25, 0.008685, 0.008924, 0.008685, 0.003263, 256, 0.472874, 0.375116, 224, 128, 64, 0.927960, 2647, 405314, 29300, 2371, 0.020181, 0.990845, 91, 87031, 27, 778, 0.226894
12, 40, 11, 0.009877, 0.010000, 0.009877, 0.007371, 256, 0.188121, 0.352663, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
13, 41, 11, 0.009877, 0.009998, 0.009877, 0.009717, 256, 0.355115, 0.229613, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
14, 53, 11, 0.009877, 0.009911, 0.009877, 0.009563, 128, 0.443487, 0.034351, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
15, 34, 11, 0.009877, 0.010035, 0.009877, 0.006509, 512, 0.456281, 0.093042, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
16, 155, 11, 0.009877, 0.009900, 0.009877, 0.006346, 32, 0.005545, 0.445918, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
17, 255, 27, 0.008872, 0.009084, 0.008872, 0.002830, 64, 0.277104, 0.408997, 224, 128, 64, 0.985072, 488, 432581, 2033, 4530, 0.185044, 0.990344, 22, 87056, 2, 847, 1.324449
18, 104, 11, 0.009877, 0.009900, 0.009877, 0.002815, 64, 0.182012, 0.113995, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
19, 103, 11, 0.009877, 0.009894, 0.009877, 0.009472, 64, 0.270755, 0.249880, 224, 128, 64, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
Best model
{'batch_size': 256, 'dropout_rate': 0.20633103640535622, 'dropout_rate_1': 0.24222276186600594, 'layer': 224, 'layer_1': 128, 'layer_2': 64, 'lr': 0.0003581900508076567}
