Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 228, 14, 0.015789, 0.017148, 0.015789, 0.004427, 64, 0.368585, 0.325898, 224, 128, 64, 0.820088, 28318, 455521, 89193, 16952, 0.226039, 0.979527, 1702, 154987, 1189, 2086, 0.257669
1, 86, 11, 0.015417, 0.017608, 0.015417, 0.003900, 128, 0.418333, 0.456415, 224, 128, 64, 0.933947, 36312, 514702, 30012, 8958, 0.313571, 0.973525, 2546, 153183, 2993, 1242, 0.170191
2, 115, 20, 0.013044, 0.014063, 0.013044, 0.003443, 256, 0.487909, 0.144331, 224, 128, 64, 0.729030, 21791, 408325, 136389, 23479, 0.210592, 0.982127, 2165, 154940, 1236, 1623, 0.286363
3, 270, 47, 0.009791, 0.010576, 0.009791, 0.000358, 256, 0.206331, 0.242223, 224, 128, 64, 0.691417, 18250, 389675, 155039, 27020, 0.073880, 0.988304, 2391, 155702, 474, 1397, 0.414787
4, 101, 13, 0.016289, 0.018072, 0.016289, 0.008726, 128, 0.187318, 0.291916, 224, 128, 64, 0.837675, 38328, 455887, 88827, 6942, 0.344808, 0.980039, 1547, 155224, 952, 2241, 0.270845
5, 316, 14, 0.015770, 0.017703, 0.015770, 0.004311, 32, 0.344185, 0.263950, 224, 128, 64, 0.900457, 28777, 502478, 42236, 16493, 0.326053, 0.980877, 1590, 155315, 861, 2198, 0.250520
6, 160, 20, 0.011656, 0.013156, 0.011656, 0.004700, 128, 0.166757, 0.052654, 224, 128, 64, 0.637227, 37242, 338712, 206002, 8028, 0.328417, 0.986241, 2402, 155361, 815, 1386, 0.308054
7, 1197, 53, 0.009171, 0.009587, 0.009171, 0.000292, 32, 0.129493, 0.041067, 224, 128, 64, 0.891122, 17619, 508129, 36585, 27651, 0.424528, 0.989491, 2507, 155776, 400, 1281, 0.468568
8, 128, 22, 0.011516, 0.013026, 0.011516, 0.002335, 256, 0.221877, 0.454251, 224, 128, 64, 0.685786, 36859, 367744, 176970, 8411, 0.218324, 0.985628, 2372, 155293, 883, 1416, 0.320329
9, 366, 16, 0.012608, 0.014379, 0.012608, 0.005705, 32, 0.046130, 0.104711, 224, 128, 64, 0.773855, 20376, 436186, 108528, 24894, 0.184156, 0.983996, 2300, 155104, 1072, 1488, 0.295058
10, 562, 25, 0.010690, 0.011287, 0.010690, 0.000360, 32, 0.255310, 0.146762, 224, 128, 64, 0.677925, 18612, 381353, 163361, 26658, 0.087568, 0.987372, 2480, 155464, 712, 1308, 0.347571
11, 118, 19, 0.013173, 0.014947, 0.013173, 0.003263, 256, 0.472874, 0.375116, 224, 128, 64, 0.711733, 25310, 394601, 150113, 19960, 0.160481, 0.982377, 2300, 154845, 1331, 1488, 0.260867
12, 113, 19, 0.015847, 0.017467, 0.015847, 0.007371, 256, 0.188121, 0.352663, 224, 128, 64, 0.675588, 28307, 370279, 174435, 16963, 0.251913, 0.979883, 1833, 154913, 1263, 1955, 0.232153
13, 94, 15, 0.016991, 0.018846, 0.016991, 0.009717, 256, 0.355115, 0.229613, 224, 128, 64, 0.872605, 36532, 478291, 66423, 8738, 0.349672, 0.979558, 1686, 155008, 1168, 2102, 0.180705
14, 91, 11, 0.023665, 0.021802, 0.023665, 0.009563, 128, 0.443487, 0.034351, 224, 128, 64, 0.923269, 0, 544714, 0, 45270, 0.000316, 0.976320, 0, 156176, 0, 3788, 0.000316
15, 80, 17, 0.015070, 0.016558, 0.015070, 0.006509, 512, 0.456281, 0.093042, 224, 128, 64, 0.814836, 21649, 459091, 85623, 23621, 0.175054, 0.981727, 1968, 155073, 1103, 1820, 0.219120
16, 256, 11, 0.023665, 0.023670, 0.023665, 0.006346, 32, 0.005545, 0.445918, 224, 128, 64, 0.923269, 0, 544714, 0, 45270, 0.000316, 0.976320, 0, 156176, 0, 3788, 0.000316
17, 433, 26, 0.012537, 0.014482, 0.012537, 0.002830, 64, 0.277104, 0.408997, 224, 128, 64, 0.748152, 19151, 422247, 122467, 26119, 0.204130, 0.983571, 2301, 155035, 1141, 1487, 0.293474
18, 461, 27, 0.012286, 0.012888, 0.012286, 0.002815, 64, 0.182012, 0.113995, 224, 128, 64, 0.690878, 22372, 385235, 159479, 22898, 0.191846, 0.983409, 2437, 154873, 1303, 1351, 0.334600
19, 252, 15, 0.016651, 0.018898, 0.016651, 0.009472, 64, 0.270755, 0.249880, 224, 128, 64, 0.895663, 30887, 497540, 47174, 14383, 0.314005, 0.980346, 1453, 155367, 809, 2335, 0.252194
20, 169, 35, 0.009334, 0.010175, 0.009334, 0.000494, 512, 0.095720, 0.203926, 224, 128, 64, 0.879809, 31456, 487617, 57097, 13814, 0.128539, 0.989091, 2356, 155863, 313, 1432, 0.435913
21, 226, 46, 0.009253, 0.009767, 0.009253, 0.001564, 512, 0.107166, 0.007211, 224, 128, 64, 0.789976, 32893, 433180, 111534, 12377, 0.592125, 0.989060, 2361, 155853, 323, 1427, 0.458897
22, 180, 37, 0.009696, 0.009979, 0.009696, 0.001583, 512, 0.098660, 0.022454, 224, 128, 64, 0.879756, 25677, 493365, 51349, 19593, 0.253523, 0.988797, 2288, 155884, 292, 1500, 0.449297
23, 239, 48, 0.009074, 0.009707, 0.009074, 0.001243, 512, 0.126976, 0.002774, 224, 128, 64, 0.774735, 30193, 426888, 117826, 15077, 0.315536, 0.989423, 2373, 155899, 277, 1415, 0.466260
24, 722, 32, 0.009874, 0.010405, 0.009874, 0.001315, 32, 0.002014, 0.064649, 224, 128, 64, 0.816170, 17581, 463946, 80768, 27689, 0.185196, 0.988304, 2314, 155779, 397, 1474, 0.465706
25, 234, 49, 0.009680, 0.010154, 0.009680, 0.000990, 512, 0.129500, 0.185407, 224, 128, 64, 0.846230, 9577, 489685, 55029, 35693, 0.188040, 0.988454, 2306, 155811, 365, 1482, 0.451943
26, 212, 45, 0.009368, 0.009522, 0.009368, 0.002122, 512, 0.051967, 0.004757, 224, 128, 64, 0.718606, 34281, 389685, 155029, 10989, 0.145622, 0.989716, 2443, 155876, 300, 1345, 0.456449
27, 761, 33, 0.009726, 0.010462, 0.009726, 0.000791, 32, 0.050664, 0.070494, 224, 128, 64, 0.849648, 7022, 494257, 50457, 38248, 0.277099, 0.987929, 2059, 155974, 202, 1729, 0.501758
28, 248, 53, 0.009950, 0.010556, 0.009950, 0.000118, 512, 0.308732, 0.149275, 224, 128, 64, 0.753463, 20626, 423905, 120809, 24644, 0.062177, 0.988497, 2370, 155754, 422, 1418, 0.395191
29, 457, 20, 0.014523, 0.015735, 0.014523, 0.005404, 32, 0.154020, 0.005326, 224, 128, 64, 0.881666, 24995, 495174, 49540, 20275, 0.278257, 0.981340, 2066, 154913, 1263, 1722, 0.258823
Best model
{'batch_size': 512, 'dropout_rate': 0.1269763218027667, 'dropout_rate_1': 0.002773739542609982, 'layer': 224, 'layer_1': 128, 'layer_2': 64, 'lr': 0.001242840301790571}
