Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 40, 11, 0.009877, 0.009917, 0.009877, 0.004427, 64, 0.368585, 0.325898, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
1, 22, 11, 0.009812, 0.009787, 0.009812, 0.003900, 128, 0.418333, 0.456415, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
2, 23, 20, 0.009388, 0.009367, 0.009388, 0.003443, 256, 0.487909, 0.144331, 13, 8, 4, 0.987178, 165, 433830, 784, 4853, 0.094771, 0.990344, 25, 87053, 5, 844, 0.328546
3, 73, 63, 0.008508, 0.008698, 0.008508, 0.000358, 256, 0.206331, 0.242223, 13, 8, 4, 0.956848, 2517, 418144, 16470, 2501, 0.048864, 0.955702, 556, 83476, 3582, 313, 0.046945
4, 22, 11, 0.009877, 0.009892, 0.009877, 0.008726, 128, 0.187318, 0.291916, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
5, 76, 11, 0.009877, 0.009944, 0.009877, 0.004311, 32, 0.344185, 0.263950, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
6, 59, 29, 0.008445, 0.008681, 0.008445, 0.004700, 128, 0.166757, 0.052654, 13, 8, 4, 0.868824, 3274, 378689, 55925, 1744, 0.056523, 0.979472, 329, 85793, 1265, 540, 0.075594
7, 182, 26, 0.008712, 0.008834, 0.008712, 0.000292, 32, 0.129493, 0.041067, 13, 8, 4, 0.979358, 1386, 429171, 5443, 3632, 0.042871, 0.990981, 95, 87039, 19, 774, 0.217045
8, 34, 29, 0.008891, 0.008956, 0.008891, 0.002335, 256, 0.221877, 0.454251, 13, 8, 4, 0.955449, 2408, 417638, 16976, 2610, 0.033649, 0.974001, 384, 85257, 1801, 485, 0.035080
9, 73, 11, 0.009877, 0.009885, 0.009877, 0.005705, 32, 0.046130, 0.104711, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
10, 140, 21, 0.009179, 0.009103, 0.009179, 0.000360, 32, 0.255310, 0.146762, 13, 8, 4, 0.959002, 1811, 419797, 14817, 3207, 0.038064, 0.954132, 461, 83433, 3625, 408, 0.034728
11, 15, 13, 0.009451, 0.009374, 0.009451, 0.003263, 256, 0.472874, 0.375116, 13, 8, 4, 0.919471, 2223, 402006, 32608, 2795, 0.009811, 0.949833, 379, 83137, 3921, 490, 0.014328
12, 19, 16, 0.009287, 0.009267, 0.009287, 0.007371, 256, 0.188121, 0.352663, 13, 8, 4, 0.930103, 2018, 406885, 27729, 3000, 0.020863, 0.990344, 22, 87056, 2, 847, 0.406076
13, 12, 11, 0.009877, 0.009898, 0.009877, 0.009717, 256, 0.355115, 0.229613, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
14, 22, 11, 0.009877, 0.009882, 0.009877, 0.009563, 128, 0.443487, 0.034351, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
15, 21, 28, 0.009341, 0.009357, 0.009341, 0.006509, 512, 0.456281, 0.093042, 13, 8, 4, 0.889153, 2988, 387912, 46702, 2030, 0.020020, 0.922254, 504, 80587, 6471, 365, 0.019907
16, 74, 11, 0.009877, 0.009891, 0.009877, 0.006346, 32, 0.005545, 0.445918, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
17, 39, 11, 0.009877, 0.009923, 0.009877, 0.002830, 64, 0.277104, 0.408997, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
18, 70, 20, 0.008974, 0.009128, 0.008974, 0.002815, 64, 0.182012, 0.113995, 13, 8, 4, 0.972015, 1923, 425406, 9208, 3095, 0.026498, 0.990776, 69, 87047, 11, 800, 0.214372
19, 39, 11, 0.009877, 0.009884, 0.009877, 0.009472, 64, 0.270755, 0.249880, 13, 8, 4, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
Best model
{'batch_size': 128, 'dropout_rate': 0.16675696804070678, 'dropout_rate_1': 0.05265364571401626, 'layer': 13, 'layer_1': 8, 'layer_2': 4, 'lr': 0.0047003731565193226}
