Trials
trial_id, time, epochs, val_acc, learning_rate, batch_size, dropout_1, dropout_2, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives
0, 82, 27, 0.956729, 0.004427, 64, 0.368585, 0.325898, 0.817558, 29015, 31060, 3151, 10255, 0.956773, 9717, 15648, 436, 710
1, 35, 22, 0.956731, 0.003900, 128, 0.418333, 0.456415, 0.835182, 29707, 31663, 2548, 9563, 0.955452, 9574, 15756, 328, 853
2, 20, 17, 0.954255, 0.003443, 256, 0.487909, 0.144331, 0.828568, 28492, 32392, 1819, 10778, 0.947984, 9367, 15765, 319, 1060
3, 82, 71, 0.982880, 0.000358, 256, 0.206331, 0.242223, 0.845879, 33910, 28246, 5965, 5360, 0.982837, 10115, 15941, 143, 312
4, 43, 26, 0.965292, 0.008726, 128, 0.187318, 0.291916, 0.832338, 31194, 29967, 4244, 8076, 0.964505, 9865, 15705, 379, 562
5, 93, 22, 0.956720, 0.004311, 32, 0.344185, 0.263950, 0.818742, 30763, 29399, 4812, 8507, 0.954736, 9737, 15574, 510, 690
6, 43, 27, 0.969802, 0.004700, 128, 0.166757, 0.052654, 0.875723, 33626, 30723, 3488, 5644, 0.969673, 9908, 15799, 285, 519
7, 297, 68, 0.986919, 0.000292, 32, 0.129493, 0.041067, 0.806031, 32092, 27136, 7075, 7178, 0.986044, 10182, 15959, 125, 245
8, 68, 51, 0.971365, 0.002335, 256, 0.221877, 0.454251, 0.819872, 36117, 24128, 10083, 3153, 0.971333, 9954, 15797, 287, 473
9, 130, 30, 0.969881, 0.005705, 32, 0.046130, 0.104711, 0.774799, 26360, 30573, 3638, 12910, 0.968805, 9929, 15755, 329, 498
10, 203, 47, 0.977420, 0.000360, 32, 0.255310, 0.146762, 0.885562, 35257, 29815, 4396, 4013, 0.977406, 10036, 15876, 208, 391
11, 33, 24, 0.951166, 0.003263, 256, 0.472874, 0.375116, 0.841483, 33749, 28084, 6127, 5521, 0.950360, 9543, 15652, 432, 884
12, 44, 37, 0.970155, 0.007371, 256, 0.188121, 0.352663, 0.877941, 34484, 30028, 4183, 4786, 0.967070, 9936, 15702, 382, 491
13, 22, 13, 0.955366, 0.009717, 256, 0.355115, 0.229613, 0.679291, 16186, 33729, 482, 23084, 0.955415, 9736, 15593, 491, 691
14, 24, 13, 0.957800, 0.009563, 128, 0.443487, 0.034351, 0.847702, 29180, 33110, 1101, 10090, 0.955188, 9651, 15672, 412, 776
15, 18, 16, 0.957758, 0.006509, 512, 0.456281, 0.093042, 0.828527, 28629, 32252, 1959, 10641, 0.957791, 9660, 15732, 352, 767
16, 164, 36, 0.964329, 0.006346, 32, 0.005545, 0.445918, 0.858276, 35741, 27326, 6885, 3529, 0.964392, 9908, 15659, 425, 519
17, 98, 30, 0.965916, 0.002830, 64, 0.277104, 0.408997, 0.851281, 33178, 29375, 4836, 6092, 0.964128, 9815, 15745, 339, 612
18, 60, 18, 0.968100, 0.002815, 64, 0.182012, 0.113995, 0.862658, 30899, 32490, 1721, 8371, 0.968164, 9934, 15733, 351, 493
19, 51, 16, 0.961220, 0.009472, 64, 0.270755, 0.249880, 0.887086, 35918, 29266, 4945, 3352, 0.960205, 9784, 15672, 412, 643
Best model
{'batch_size': 32, 'first_dropout_rate': 0.1294929579149945, 'first_dropout_rate_1': 0.041066807064350896, 'lr': 0.0002921490956005647}
