Trials
trial_id, time, epochs, val_acc, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 49, 29, 0.939386, 0.056194, 0.046966, 0.004427, 64, 0.368585, 0.325898, 0.884076, 46392, 70794, 9624, 5742, 0.477972, 0.932639, 7100, 6607, 236, 754, 0.576925
1, 32, 37, 0.958093, 0.049770, 0.040769, 0.003900, 128, 0.418333, 0.456415, 0.793990, 43460, 61785, 18633, 8674, 0.427121, 0.955229, 7362, 6677, 166, 492, 0.574292
2, 25, 38, 0.946213, 0.046254, 0.045526, 0.003443, 256, 0.487909, 0.144331, 0.791101, 45002, 59860, 20558, 7132, 0.507897, 0.942641, 7196, 6658, 185, 658, 0.533270
3, 61, 93, 0.976773, 0.024427, 0.020125, 0.000358, 256, 0.206331, 0.242223, 0.569942, 34461, 41086, 39332, 17673, 0.222874, 0.972852, 7499, 6799, 44, 355, 0.693013
4, 20, 23, 0.953753, 0.053214, 0.039485, 0.008726, 128, 0.187318, 0.291916, 0.827675, 48265, 61445, 18973, 3869, 0.474156, 0.951010, 7287, 6690, 153, 567, 0.630581
5, 24, 12, 0.929620, 0.058815, 0.054362, 0.004311, 32, 0.344185, 0.263950, 0.914305, 45779, 75414, 5004, 6355, 0.517320, 0.927604, 7013, 6620, 223, 841, 0.565680
6, 25, 27, 0.966260, 0.040664, 0.033023, 0.004700, 128, 0.166757, 0.052654, 0.868527, 44562, 70563, 9855, 7572, 0.853799, 0.958495, 7310, 6777, 66, 544, 0.651036
7, 141, 72, 0.978601, 0.021946, 0.019114, 0.000292, 32, 0.129493, 0.041067, 0.892653, 44498, 73825, 6593, 7636, 0.289470, 0.972920, 7483, 6816, 27, 371, 0.703279
8, 23, 33, 0.957528, 0.042201, 0.036174, 0.002335, 256, 0.221877, 0.454251, 0.800124, 43342, 62716, 17702, 8792, 0.661605, 0.957066, 7392, 6674, 169, 462, 0.613493
9, 45, 23, 0.955639, 0.044649, 0.038394, 0.005705, 32, 0.046130, 0.104711, 0.510064, 36326, 31284, 49134, 15808, 0.614953, 0.953800, 7350, 6668, 175, 504, 0.576483
10, 133, 69, 0.972622, 0.026980, 0.023553, 0.000360, 32, 0.255310, 0.146762, 0.753010, 42968, 56845, 23573, 9166, 0.372520, 0.967749, 7438, 6785, 58, 416, 0.679419
11, 16, 20, 0.947598, 0.053161, 0.046406, 0.003263, 256, 0.472874, 0.375116, 0.858720, 45458, 68367, 12051, 6676, 0.455031, 0.946248, 7281, 6626, 217, 573, 0.526316
12, 29, 40, 0.957625, 0.045544, 0.036782, 0.007371, 256, 0.188121, 0.352663, 0.864068, 45028, 69506, 10912, 7106, 0.369225, 0.953800, 7303, 6715, 128, 551, 0.644443
13, 13, 15, 0.938699, 0.059023, 0.051563, 0.009717, 256, 0.355115, 0.229613, 0.913377, 45595, 75475, 4943, 6539, 0.468634, 0.931687, 7065, 6628, 215, 789, 0.555985
14, 28, 28, 0.939298, 0.056580, 0.056714, 0.009563, 128, 0.443487, 0.034351, 0.920529, 47266, 74752, 5666, 4868, 0.507866, 0.931483, 7019, 6671, 172, 835, 0.546289
15, 11, 18, 0.939529, 0.051286, 0.053149, 0.006509, 512, 0.456281, 0.093042, 0.919994, 45699, 76248, 4170, 6435, 0.504916, 0.922161, 6903, 6650, 193, 951, 0.572429
16, 48, 24, 0.948913, 0.049661, 0.039098, 0.006346, 32, 0.005545, 0.445918, 0.795718, 46832, 58642, 21776, 5302, 0.443321, 0.954412, 7364, 6663, 180, 490, 0.683554
17, 75, 41, 0.955427, 0.044447, 0.038396, 0.002830, 64, 0.277104, 0.408997, 0.680171, 45221, 44937, 35481, 6913, 0.416107, 0.950738, 7310, 6663, 180, 544, 0.589901
18, 64, 35, 0.962636, 0.038141, 0.033587, 0.002815, 64, 0.182012, 0.113995, 0.493180, 36167, 29205, 51213, 15967, 0.479587, 0.957610, 7338, 6736, 107, 516, 0.622489
19, 24, 13, 0.935258, 0.064916, 0.053154, 0.009472, 64, 0.270755, 0.249880, 0.901556, 47591, 71912, 8506, 4543, 0.498155, 0.930870, 7079, 6602, 241, 775, 0.553286
Best model
{'batch_size': 32, 'first_dropout_rate': 0.1294929579149945, 'first_dropout_rate_1': 0.041066807064350896, 'lr': 0.0002921490956005647}
