Trials
trial_id, time, epochs, val_acc, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 67, 37, 0.959609, 0.040370, 0.035634, 0.004427, 64, 0.368585, 0.325898, 0.901827, 43846, 75693, 4725, 8288, 0.453133, 0.959992, 7388, 6721, 122, 466, 0.634841
1, 36, 39, 0.956967, 0.043909, 0.036893, 0.003900, 128, 0.418333, 0.456415, 0.892669, 43989, 74336, 6082, 8145, 0.456252, 0.955569, 7343, 6701, 142, 511, 0.603147 *
2, 12, 17, 0.948524, 0.049858, 0.043133, 0.003443, 256, 0.487909, 0.144331, 0.924226, 45525, 76983, 3435, 6609, 0.523451, 0.946316, 7254, 6654, 189, 600, 0.614219
3, 77, 103, 0.978023, 0.022283, 0.017871, 0.000358, 256, 0.206331, 0.242223, 0.903185, 43431, 76288, 4130, 8703, 0.269477, 0.977274, 7588, 6775, 68, 266, 0.629225
4, 26, 28, 0.964984, 0.038643, 0.032051, 0.008726, 128, 0.187318, 0.291916, 0.902838, 43836, 75837, 4581, 8298, 0.427377, 0.964074, 7396, 6773, 70, 458, 0.601370 *
5, 153, 75, 0.967595, 0.031374, 0.026632, 0.004311, 32, 0.344185, 0.263950, 0.926376, 44410, 78383, 2035, 7724, 0.405446, 0.966456, 7450, 6754, 89, 404, 0.620352
6, 27, 29, 0.965890, 0.034096, 0.030936, 0.004700, 128, 0.166757, 0.052654, 0.931838, 45025, 78492, 1926, 7109, 0.282125, 0.963734, 7401, 6763, 80, 453, 0.659612 *
7, 196, 96, 0.984337, 0.016431, 0.013654, 0.000292, 32, 0.129493, 0.041067, 0.667014, 31176, 57238, 23180, 20958, 0.149369, 0.981969, 7630, 6802, 41, 224, 0.647746
8, 47, 65, 0.964831, 0.034525, 0.030228, 0.002335, 256, 0.221877, 0.454251, 0.907025, 43963, 76265, 4153, 8171, 0.385919, 0.964483, 7427, 6748, 95, 427, 0.619428 *
9, 140, 69, 0.976495, 0.021794, 0.019420, 0.005705, 32, 0.046130, 0.104711, 0.933671, 45321, 78439, 1979, 6813, 0.117391, 0.976730, 7589, 6766, 77, 265, 0.647627
10, 198, 94, 0.976562, 0.022265, 0.019193, 0.000360, 32, 0.255310, 0.146762, 0.935384, 45842, 78145, 2273, 6292, 0.248132, 0.974689, 7563, 6762, 81, 291, 0.617174
11, 29, 40, 0.961097, 0.041863, 0.037463, 0.003263, 256, 0.472874, 0.375116, 0.889915, 43155, 74805, 5613, 8979, 0.483001, 0.957270, 7334, 6735, 108, 520, 0.605602
12, 29, 36, 0.966014, 0.037100, 0.031257, 0.007371, 256, 0.188121, 0.352663, 0.900326, 43690, 75650, 4768, 8444, 0.490535, 0.963666, 7403, 6760, 83, 451, 0.613518 *
13, 19, 26, 0.960676, 0.042308, 0.036399, 0.009717, 256, 0.355115, 0.229613, 0.901480, 44309, 75184, 5234, 7825, 0.461941, 0.960196, 7391, 6721, 122, 463, 0.594148
14, 13, 12, 0.948439, 0.057742, 0.046948, 0.009563, 128, 0.443487, 0.034351, 0.928028, 45558, 77454, 2964, 6576, 0.591511, 0.945295, 7264, 6629, 214, 590, 0.599034 *
15, 18, 30, 0.958910, 0.043544, 0.037735, 0.006509, 512, 0.456281, 0.093042, 0.882137, 43691, 73238, 7180, 8443, 0.498146, 0.957951, 7368, 6711, 132, 486, 0.609384 *
16, 36, 17, 0.959647, 0.037804, 0.034335, 0.006346, 32, 0.005545, 0.445918, 0.899489, 43806, 75423, 4995, 8328, 0.462074, 0.959992, 7396, 6713, 130, 458, 0.673402 *
17, 73, 41, 0.964976, 0.036978, 0.031144, 0.002830, 64, 0.277104, 0.408997, 0.890782, 40593, 77482, 2936, 11541, 0.468472, 0.962305, 7403, 6740, 103, 451, 0.641204 *
18, 116, 65, 0.970954, 0.027513, 0.023840, 0.002815, 64, 0.182012, 0.113995, 0.940008, 46715, 77885, 2533, 5419, 0.261937, 0.970878, 7528, 6741, 102, 326, 0.592332
19, 74, 41, 0.964084, 0.037666, 0.031352, 0.009472, 64, 0.270755, 0.249880, 0.912487, 43075, 77877, 2541, 9059, 0.383811, 0.961829, 7381, 6755, 88, 473, 0.616311 *
Best model
{'batch_size': 32, 'first_dropout_rate': 0.1294929579149945, 'first_dropout_rate_1': 0.041066807064350896, 'lr': 0.0002921490956005647}
