Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 96, 45, 0.033034, 0.038692, 0.033034, 0.004427, 64, 0.160376, 0.367107, 512, 128, 64, 0.831862, 44923, 65342, 15076, 7211, 0.418852, 0.956318, 7302, 6753, 90, 552, 0.711266
1, 43, 23, 0.042727, 0.046071, 0.042727, 0.003900, 64, 0.348754, 0.257640, 256, 128, 128, 0.917708, 43993, 77651, 2767, 8141, 0.534920, 0.935429, 7050, 6698, 145, 804, 0.658026
2, 97, 63, 0.024842, 0.026275, 0.024842, 0.003443, 512, 0.072572, 0.236343, 512, 128, 64, 0.826596, 35459, 74108, 6310, 16675, 0.371498, 0.966796, 7417, 6792, 51, 437, 0.684571
3, 426, 120, 0.013825, 0.016133, 0.013825, 0.000358, 32, 0.058649, 0.422212, 512, 256, 128, 0.856026, 45905, 67563, 12855, 6229, 0.131030, 0.971014, 7442, 6829, 14, 412, 0.803222
4, 59, 37, 0.030058, 0.033615, 0.030058, 0.008726, 128, 0.016617, 0.044310, 512, 128, 128, 0.452464, 23130, 36845, 43573, 29004, 1.295180, 0.961489, 7356, 6775, 68, 498, 0.712791
5, 49, 19, 0.047731, 0.050366, 0.047731, 0.004311, 32, 0.476214, 0.140690, 256, 128, 64, 0.922921, 46913, 75422, 4996, 5221, 0.473799, 0.946043, 7191, 6713, 130, 663, 0.551548
6, 85, 44, 0.032195, 0.035726, 0.032195, 0.004700, 64, 0.080781, 0.378592, 256, 256, 64, 0.464670, 25604, 35989, 44429, 26530, 0.830877, 0.957066, 7279, 6787, 56, 575, 0.721564
7, 285, 90, 0.013226, 0.015258, 0.013226, 0.000292, 32, 0.155582, 0.103350, 256, 256, 128, 0.790633, 36209, 68591, 11827, 15925, 0.475284, 0.979179, 7567, 6824, 19, 287, 0.751293
8, 123, 44, 0.024467, 0.027581, 0.024467, 0.002335, 64, 0.032643, 0.261319, 512, 256, 128, 0.804801, 38686, 67992, 12426, 13448, 0.500918, 0.968225, 7436, 6794, 49, 418, 0.687640
9, 43, 21, 0.046826, 0.047021, 0.046826, 0.005705, 256, 0.372315, 0.060451, 512, 256, 128, 0.839927, 44337, 66997, 13421, 7797, 0.547094, 0.932027, 6968, 6730, 113, 886, 0.616454
10, 196, 116, 0.012878, 0.011225, 0.012878, 0.000360, 128, 0.000503, 0.310194, 256, 256, 128, 0.885336, 43596, 73757, 6661, 8538, 0.515664, 0.977070, 7539, 6821, 22, 315, 0.836280
11, 52, 30, 0.029594, 0.034763, 0.029594, 0.003263, 128, 0.135355, 0.049615, 512, 128, 64, 0.856162, 40390, 73096, 7322, 11744, 0.733798, 0.953460, 7213, 6800, 43, 641, 0.720073
12, 119, 61, 0.021174, 0.023151, 0.021174, 0.007371, 512, 0.005863, 0.231039, 512, 256, 128, 0.436002, 30501, 27292, 53126, 21633, 0.145907, 0.970674, 7469, 6797, 46, 385, 0.716761
13, 86, 46, 0.023844, 0.025874, 0.023844, 0.009717, 512, 0.003015, 0.154532, 512, 256, 64, 0.719393, 21824, 73533, 6885, 30310, 0.487492, 0.970878, 7498, 6771, 72, 356, 0.675379
