Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 103, 54, 0.064316, 0.077144, 0.064316, 0.004427, 64, 0.160376, 0.367107, 512, 128, 64, 0.925403, 45204, 77460, 2958, 6930, 0.536706, 0.969041, 7560, 6682, 161, 294, 0.819146
1, 62, 39, 0.084559, 0.100376, 0.084559, 0.003900, 64, 0.348754, 0.257640, 256, 128, 128, 0.887259, 43543, 74065, 6353, 8591, 0.690485, 0.965299, 7541, 6646, 197, 313, 0.819146
2, 61, 49, 0.055052, 0.066524, 0.055052, 0.003443, 512, 0.072572, 0.236343, 512, 128, 64, 0.931717, 45967, 77534, 2884, 6167, 0.415103, 0.974280, 7635, 6684, 159, 219, 0.819311
3, 262, 85, 0.040382, 0.048367, 0.040382, 0.000358, 32, 0.058649, 0.422212, 512, 256, 128, 0.930209, 45487, 77814, 2604, 6647, 0.376475, 0.980608, 7679, 6733, 110, 175, 0.813010
4, 58, 43, 0.053860, 0.059748, 0.053860, 0.008726, 128, 0.016617, 0.044310, 512, 128, 128, 0.945342, 46448, 78859, 1559, 5686, 0.408769, 0.974689, 7605, 6720, 123, 249, 0.826050
5, 112, 52, 0.083527, 0.097968, 0.083527, 0.004311, 32, 0.476214, 0.140690, 256, 128, 64, 0.909990, 43600, 77021, 3397, 8534, 0.665748, 0.964346, 7554, 6619, 224, 300, 0.806874
6, 67, 44, 0.065850, 0.075447, 0.065850, 0.004700, 64, 0.080781, 0.378592, 256, 256, 64, 0.937858, 45915, 78400, 2018, 6219, 0.573374, 0.969926, 7589, 6666, 177, 265, 0.813010
7, 83, 34, 0.056673, 0.066463, 0.056673, 0.000292, 32, 0.155582, 0.103350, 256, 256, 128, 0.931974, 45695, 77840, 2578, 6439, 0.455501, 0.972511, 7604, 6689, 154, 250, 0.819476
8, 156, 68, 0.045952, 0.055103, 0.045952, 0.002335, 64, 0.032643, 0.261319, 512, 256, 128, 0.919458, 44441, 77435, 2983, 7693, 0.283533, 0.978839, 7659, 6727, 116, 195, 0.813245
9, 55, 34, 0.096035, 0.101620, 0.096035, 0.005705, 256, 0.372315, 0.060451, 512, 256, 128, 0.886550, 42919, 74595, 5823, 9215, 0.745515, 0.958767, 7446, 6645, 198, 408, 0.813010
10, 77, 60, 0.045019, 0.048370, 0.045019, 0.000360, 128, 0.000503, 0.310194, 256, 256, 128, 0.858606, 40661, 73149, 7269, 11473, 0.447017, 0.979111, 7687, 6703, 140, 167, 0.819807
11, 55, 42, 0.058550, 0.070743, 0.058550, 0.003263, 128, 0.135355, 0.049615, 512, 128, 64, 0.929281, 44901, 78277, 2141, 7233, 0.484219, 0.972716, 7588, 6708, 135, 266, 0.819550
12, 55, 37, 0.058136, 0.062498, 0.058136, 0.007371, 512, 0.005863, 0.231039, 512, 256, 128, 0.885803, 41050, 76365, 4053, 11084, 0.629766, 0.973124, 7631, 6671, 172, 223, 0.832047
13, 41, 29, 0.060386, 0.065711, 0.060386, 0.009717, 512, 0.003015, 0.154532, 512, 256, 64, 0.910428, 44815, 75864, 4554, 7319, 0.517311, 0.973260, 7592, 6712, 131, 262, 0.825937
14, 146, 88, 0.061823, 0.072431, 0.061823, 0.009563, 256, 0.192026, 0.111628, 512, 256, 64, 0.846204, 37121, 75045, 5373, 15013, 0.476725, 0.971287, 7602, 6673, 170, 252, 0.813245
