Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 25, 11, 1.140588, 0.629703, 1.140588, 0.004427, 64, 0.160376, 0.367107, 512, 128, 64, 0.919843, 44037, 77890, 2528, 8097, 0.091819, 0.888481, 6358, 6700, 143, 1496, 0.077963
1, -, -, -, -, -, 0.003900, 64, 0.348754, 0.257640, 256, 128, 128, FAIL
2, 31, 16, 0.093174, 0.108610, 0.093174, 0.003443, 512, 0.072572, 0.236343, 512, 128, 64, 0.457918, 28125, 32573, 47845, 24009, 0.708685, 0.958427, 7471, 6615, 228, 383, 0.794574
3, 311, 89, 0.038814, 0.042857, 0.038814, 0.000358, 32, 0.058649, 0.422212, 512, 256, 128, 0.849455, 42232, 70365, 10053, 9902, 0.478884, 0.982241, 7713, 6723, 120, 141, 0.807378
4, -, -, -, -, -, 0.008726, 128, 0.016617, 0.044310, 512, 128, 128, FAIL
5, 29, 11, 0.146672, 0.183775, 0.146672, 0.004311, 32, 0.476214, 0.140690, 256, 128, 64, 0.932487, 48448, 75155, 5263, 3686, 0.671882, 0.927944, 7243, 6395, 448, 611, 0.794804
6, 23, 12, 0.920857, 0.629473, 0.920857, 0.004700, 64, 0.080781, 0.378592, 256, 256, 64, 0.929077, 47856, 75295, 5123, 4278, 0.155756, 0.844662, 6016, 6398, 445, 1838, 0.195761
7, 79, 26, 0.072078, 0.078952, 0.072078, 0.000292, 32, 0.155582, 0.103350, 256, 256, 128, 0.846189, 44406, 67758, 12660, 7728, 0.702563, 0.967885, 7620, 6605, 238, 234, 0.806874
8, -, -, -, -, -, 0.002335, 64, 0.032643, 0.261319, 512, 256, 128, FAIL
9, 24, 13, 0.119647, 0.136518, 0.119647, 0.005705, 256, 0.372315, 0.060451, 512, 256, 128, 0.929696, 47070, 76163, 4255, 5064, 0.702563, 0.943050, 7335, 6525, 318, 519, 0.806867
