Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 23, 11, 1.119169, 0.634247, 1.119169, 0.006956, 64, 0.160376, 0.367107, 224, 128, 64, 0.935248, 47845, 76124, 4294, 4289, 0.091582, 0.876097, 6206, 6670, 173, 1648, 0.090237
1, -, -, -, -, -, 0.004310, 64, 0.348754, 0.257640, 224, 128, 64, FAIL
2, -, -, -, -, -, 0.007303, 512, 0.072572, 0.236343, 224, 128, 64, FAIL
3, 42, 16, 0.819240, 0.632411, 0.819240, 0.005397, 32, 0.058649, 0.422212, 224, 128, 64, 0.929160, 48199, 74963, 5455, 3935, 0.202849, 0.852691, 7088, 5444, 1399, 766, 0.222712
4, 32, 25, 0.067379, 0.070250, 0.067379, 0.002408, 128, 0.016617, 0.044310, 224, 128, 64, 0.486541, 35190, 29302, 51116, 16944, 0.357111, 0.965707, 7532, 6661, 182, 322, 0.825282
5, -, -, -, -, -, 0.007454, 32, 0.476214, 0.140690, 224, 128, 64, FAIL
6, 38, 17, 0.080511, 0.097966, 0.080511, 0.004033, 64, 0.080781, 0.378592, 224, 128, 64, 0.866068, 42624, 72175, 8243, 9510, 0.782330, 0.961829, 7552, 6584, 259, 302, 0.813010
7, 45, 18, 0.083218, 0.096925, 0.083218, 0.000900, 32, 0.155582, 0.103350, 224, 128, 64, 0.730619, 46901, 49944, 30474, 5233, 0.720970, 0.960944, 7534, 6589, 254, 320, 0.813010
8, -, -, -, -, -, 0.007384, 64, 0.032643, 0.261319, 224, 128, 64, FAIL
9, 13, 14, 0.114349, 0.123526, 0.114349, 0.002174, 256, 0.372315, 0.060451, 224, 128, 64, 0.920582, 45988, 76037, 4381, 6146, 0.690291, 0.947268, 7464, 6458, 385, 390, 0.782962
10, 62, 46, 0.052454, 0.057817, 0.052454, 0.001131, 128, 0.000503, 0.310194, 224, 128, 64, 0.817332, 32235, 76104, 4314, 19899, 0.522676, 0.974621, 7601, 6723, 120, 253, 0.820191
11, 36, 28, 0.074470, 0.083974, 0.074470, 0.003120, 128, 0.135355, 0.049615, 224, 128, 64, 0.876879, 44783, 71449, 8969, 7351, 0.665747, 0.963666, 7530, 6633, 210, 324, 0.819432
12, -, -, -, -, -, 0.008077, 512, 0.005863, 0.231039, 224, 128, 64, FAIL
13, 16, 13, 0.114307, 0.117977, 0.114307, 0.005221, 512, 0.003015, 0.154532, 224, 128, 64, 0.920650, 47194, 74840, 5578, 4940, 0.782330, 0.953528, 7462, 6552, 291, 392, 0.819878
