Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 93, 29, 0.027610, 0.042199, 0.027610, 0.004427, 64, 0.160376, 0.367107, 512, 128, 64, 0.833508, 31659, 29588, 4623, 7611, 0.475346, 0.968164, 9852, 15815, 269, 575, 0.573964
1, 67, 25, 0.031910, 0.045707, 0.031910, 0.003900, 64, 0.348754, 0.257640, 256, 128, 128, 0.865979, 33692, 29941, 4270, 5578, 0.395659, 0.963298, 9799, 15739, 345, 628, 0.524611
2, 139, 66, 0.020043, 0.023493, 0.020043, 0.003443, 512, 0.072572, 0.236343, 512, 128, 64, 0.824267, 33444, 27124, 7087, 5826, 0.475967, 0.974463, 9863, 15971, 113, 564, 0.645926
3, 348, 57, 0.014770, 0.017798, 0.014770, 0.000358, 32, 0.058649, 0.422212, 512, 256, 128, 0.851213, 35545, 27003, 7208, 3725, 0.421766, 0.978499, 9911, 16030, 54, 516, 0.726650
4, 73, 33, 0.023013, 0.026780, 0.023013, 0.008726, 128, 0.016617, 0.044310, 512, 128, 128, 0.767450, 27006, 29387, 4824, 12264, 0.475343, 0.967749, 9741, 15915, 169, 686, 0.646861
5, 84, 19, 0.041193, 0.055680, 0.041193, 0.004311, 32, 0.476214, 0.140690, 256, 128, 64, 0.849390, 32562, 29852, 4359, 6708, 0.363731, 0.950511, 9684, 15515, 569, 743, 0.466875
6, 63, 24, 0.028234, 0.046260, 0.028234, 0.004700, 64, 0.080781, 0.378592, 256, 256, 64, 0.848927, 34575, 27805, 6406, 4695, 0.469830, 0.968919, 9822, 15865, 219, 605, 0.542425
7, 363, 66, 0.010512, 0.014225, 0.010512, 0.000292, 32, 0.155582, 0.103350, 256, 256, 128, 0.714566, 36342, 16165, 18046, 2928, 0.379849, 0.985553, 10097, 16031, 53, 330, 0.690343
8, 241, 62, 0.018747, 0.023106, 0.018747, 0.002335, 64, 0.032643, 0.261319, 512, 256, 128, 0.731277, 28510, 25225, 8986, 10760, 0.497787, 0.977406, 10034, 15878, 206, 393, 0.563642
9, 72, 26, 0.036206, 0.037361, 0.036206, 0.005705, 256, 0.372315, 0.060451, 512, 256, 128, 0.844164, 31169, 30861, 3350, 8101, 0.421648, 0.962129, 9714, 15793, 291, 713, 0.493821
10, 188, 83, 0.009433, 0.009870, 0.009433, 0.000360, 128, 0.000503, 0.310194, 256, 256, 128, 0.627591, 26758, 19358, 14853, 12512, 0.703745, 0.983252, 10008, 16059, 25, 419, 0.787278
11, 97, 42, 0.021037, 0.027689, 0.021037, 0.003263, 128, 0.135355, 0.049615, 512, 128, 64, 0.843443, 32985, 28992, 5219, 6285, 0.462454, 0.976048, 9979, 15897, 187, 448, 0.530676
12, 195, 75, 0.017966, 0.021597, 0.017966, 0.007371, 512, 0.005863, 0.231039, 512, 256, 128, 0.644915, 26135, 21254, 12957, 13135, 0.410842, 0.978424, 9968, 15971, 113, 459, 0.583328
13, 131, 53, 0.019294, 0.023786, 0.019294, 0.009717, 512, 0.003015, 0.154532, 512, 256, 64, 0.718580, 28464, 24338, 9873, 10806, 0.409879, 0.974426, 9839, 15994, 90, 588, 0.724776
14, 76, 27, 0.027507, 0.036898, 0.027507, 0.009563, 256, 0.192026, 0.111628, 512, 256, 64, 0.830201, 29767, 31237, 2974, 9503, 0.421192, 0.961563, 9543, 15949, 135, 884, 0.673514
15, 86, 43, 0.021638, 0.025721, 0.021638, 0.006509, 256, 0.071629, 0.126271, 256, 256, 64, 0.838884, 34146, 27496, 6715, 5124, 0.491269, 0.974841, 9997, 15847, 237, 430, 0.552233
16, 39, 15, 0.038261, 0.040900, 0.038261, 0.006346, 512, 0.386524, 0.131952, 512, 256, 128, 0.874417, 33783, 30470, 3741, 5487, 0.341639, 0.948210, 9210, 15928, 156, 1217, 0.534930
