Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 131, 43, 0.030501, 0.040821, 0.030501, 0.004427, 64, 0.368585, 0.325898, 224, 128, 64, 0.856099, 34312, 28595, 5616, 4958, 0.453680, 0.966203, 9909, 15706, 378, 518, 0.519682
1, 52, 33, 0.036110, 0.043395, 0.036110, 0.003900, 128, 0.418333, 0.456415, 224, 128, 64, 0.794722, 28518, 29879, 4332, 10752, 0.404801, 0.960054, 9634, 15818, 266, 793, 0.476299
2, 25, 20, 0.036323, 0.039713, 0.036323, 0.003443, 256, 0.487909, 0.144331, 224, 128, 64, 0.799390, 28683, 30057, 4154, 10587, 0.289901, 0.950436, 9293, 15904, 180, 1134, 0.555289
3, 76, 62, 0.018488, 0.020609, 0.018488, 0.000358, 256, 0.206331, 0.242223, 224, 128, 64, 0.803296, 29496, 29531, 4680, 9774, 0.470838, 0.972049, 9732, 16038, 46, 695, 0.746158
4, 79, 49, 0.030111, 0.038372, 0.030111, 0.008726, 128, 0.187318, 0.291916, 224, 128, 64, 0.789224, 30157, 27836, 6375, 9113, 0.472462, 0.966203, 9884, 15731, 353, 543, 0.526717
5, 163, 38, 0.031333, 0.041647, 0.031333, 0.004311, 32, 0.344185, 0.263950, 224, 128, 64, 0.739456, 24538, 29798, 4413, 14732, 0.425361, 0.965750, 9789, 15814, 270, 638, 0.543770
6, 55, 34, 0.026331, 0.031607, 0.026331, 0.004700, 128, 0.166757, 0.052654, 224, 128, 64, 0.843075, 32305, 29645, 4566, 6965, 0.403609, 0.962468, 9536, 15980, 104, 891, 0.661878
7, 298, 69, 0.015591, 0.018133, 0.015591, 0.000292, 32, 0.129493, 0.041067, 224, 128, 64, 0.813789, 30361, 29437, 4774, 8909, 0.533500, 0.970352, 9666, 16059, 25, 761, 0.837876
8, 53, 43, 0.025266, 0.031367, 0.025266, 0.002335, 256, 0.221877, 0.454251, 224, 128, 64, 0.833168, 32999, 28223, 5988, 6271, 0.511573, 0.968843, 9776, 15909, 175, 651, 0.648430
9, 173, 40, 0.026506, 0.032272, 0.026506, 0.005705, 32, 0.046130, 0.104711, 224, 128, 64, 0.765463, 27801, 28446, 5765, 11469, 0.416479, 0.969748, 9802, 15907, 177, 625, 0.651564
10, 515, 120, 0.014601, 0.017357, 0.014601, 0.000360, 32, 0.255310, 0.146762, 224, 128, 64, 0.751065, 30544, 24645, 9566, 8726, 0.438401, 0.981178, 10000, 16012, 72, 427, 0.641020
11, 40, 32, 0.036394, 0.037006, 0.036394, 0.003263, 256, 0.472874, 0.375116, 224, 128, 64, 0.811475, 29194, 30434, 3777, 10076, 0.458199, 0.959866, 9700, 15747, 337, 727, 0.475275
12, 53, 43, 0.024942, 0.035518, 0.024942, 0.007371, 256, 0.188121, 0.352663, 224, 128, 64, 0.807665, 36321, 23027, 11184, 2949, 0.470036, 0.972577, 9972, 15812, 272, 455, 0.517901
13, 46, 38, 0.028756, 0.042935, 0.028756, 0.009717, 256, 0.355115, 0.229613, 224, 128, 64, 0.842531, 32340, 29570, 4641, 6930, 0.460343, 0.967183, 9796, 15845, 239, 631, 0.582651
14, 25, 14, 0.036509, 0.049998, 0.036509, 0.009563, 128, 0.443487, 0.034351, 224, 128, 64, 0.854003, 31902, 30851, 3360, 7368, 0.418621, 0.959677, 9725, 15717, 367, 702, 0.562513
