Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 33, 27, 0.060113, 0.069479, 0.060113, 0.004427, 256, 0.184292, 0.162949, 224, 128, 64, 0.800969, 31420, 27436, 6775, 7850, 0.714835, 0.971106, 9957, 15788, 296, 470, 0.788466, *
1, 35, 36, 0.059097, 0.064946, 0.059097, 0.003900, 512, 0.209167, 0.228207, 224, 128, 64, 0.833671, 33618, 27641, 6570, 5652, 0.733243, 0.971219, 10011, 15737, 347, 416, 0.782330
2, 20, 20, 0.064389, 0.080071, 0.064389, 0.003443, 512, 0.243955, 0.072166, 224, 128, 64, 0.850233, 32248, 30228, 3983, 7022, 0.671884, 0.967900, 9872, 15788, 296, 555, 0.776194, *
3, 44, 27, 0.038873, 0.045678, 0.038873, 0.000358, 128, 0.103166, 0.121111, 224, 128, 64, 0.771179, 34518, 22149, 12062, 4752, 0.745515, 0.982536, 10148, 15900, 184, 279, 0.794602, *
4, 46, 44, 0.045396, 0.053529, 0.045396, 0.008726, 512, 0.093659, 0.145958, 224, 128, 64, 0.855432, 33988, 28870, 5341, 5282, 0.708699, 0.976576, 10079, 15811, 273, 348, 0.788466
5, 31, 18, 0.062630, 0.073989, 0.062630, 0.004311, 128, 0.172092, 0.131975, 224, 128, 64, 0.847784, 33324, 28972, 5239, 5946, 0.708699, 0.970578, 9950, 15781, 303, 477, 0.770058, *
6, 26, 26, 0.041193, 0.053697, 0.041193, 0.004700, 512, 0.083378, 0.026327, 224, 128, 64, 0.809230, 33545, 25918, 8293, 5725, 0.770363, 0.980838, 10141, 15862, 222, 286, 0.788638, *
7, 95, 57, 0.022749, 0.028709, 0.022749, 0.000292, 128, 0.064746, 0.020533, 224, 128, 64, 0.676746, 34330, 15398, 18813, 4940, 0.814278, 0.989891, 10296, 15947, 137, 131, 0.795053, *
8, 33, 32, 0.055531, 0.066612, 0.055531, 0.002335, 512, 0.110939, 0.227126, 224, 128, 64, 0.811625, 32159, 27480, 6731, 7111, 0.714835, 0.973143, 9978, 15821, 263, 449, 0.788466, *
9, 20, 19, 0.051033, 0.057301, 0.051033, 0.005705, 512, 0.023065, 0.052356, 224, 128, 64, 0.790422, 36196, 21885, 12326, 3074, 0.813451, 0.976689, 10038, 15855, 229, 389, 0.800907, *
10, 52, 31, 0.036946, 0.041937, 0.036946, 0.000360, 128, 0.127655, 0.073381, 224, 128, 64, 0.763136, 34919, 21157, 13054, 4351, 0.751962, 0.983780, 10153, 15928, 156, 274, 0.788887, *
11, 58, 42, 0.054476, 0.063768, 0.054476, 0.003263, 256, 0.236437, 0.187558, 224, 128, 64, 0.832038, 33369, 27770, 6441, 5901, 0.671884, 0.973219, 10006, 15795, 289, 421, 0.776194, *
12, 48, 47, 0.043846, 0.053545, 0.043846, 0.007371, 512, 0.094060, 0.176332, 224, 128, 64, 0.861665, 35060, 28256, 5955, 4210, 0.708889, 0.978235, 10094, 15840, 244, 333, 0.782330
13, 49, 49, 0.051322, 0.055663, 0.051322, 0.009717, 512, 0.177558, 0.114806, 224, 128, 64, 0.829561, 34692, 26265, 7946, 4578, 0.752092, 0.973596, 10087, 15724, 360, 340, 0.776369, *
14, 19, 14, 0.080529, 0.089025, 0.080529, 0.009563, 256, 0.221744, 0.017176, 224, 128, 64, 0.869245, 34726, 29147, 5064, 4544, 0.696427, 0.961261, 9889, 15595, 489, 538, 0.782330, *
15, 21, 12, 0.084859, 0.093960, 0.084859, 0.006509, 128, 0.228141, 0.046521, 224, 128, 64, 0.859909, 34421, 28766, 5445, 4849, 0.696427, 0.955943, 9911, 15432, 652, 516, 0.776194, *
16, 30, 17, 0.051636, 0.060621, 0.051636, 0.006346, 128, 0.002773, 0.222959, 224, 128, 64, 0.813911, 37604, 22203, 12008, 1666, 0.813010, 0.975897, 10076, 15796, 288, 351, 0.788466, *
17, 80, 60, 0.037453, 0.047165, 0.037453, 0.002830, 256, 0.138552, 0.204498, 224, 128, 64, 0.733400, 34335, 19556, 14655, 4935, 0.776656, 0.980386, 10124, 15867, 217, 303, 0.788764
18, 33, 26, 0.049339, 0.052268, 0.049339, 0.002815, 256, 0.091006, 0.056998, 224, 128, 64, 0.831507, 35788, 25312, 8899, 3482, 0.782575, 0.975935, 10061, 15812, 272, 366, 0.782503, *
19, 39, 27, 0.064737, 0.067151, 0.064737, 0.009472, 256, 0.135377, 0.124940, 224, 128, 64, 0.845116, 34027, 28073, 6138, 5243, 0.702563, 0.968881, 9887, 15799, 285, 540, 0.776194, *
20, 36, 21, 0.044348, 0.046877, 0.044348, 0.000494, 128, 0.051537, 0.087869, 224, 128, 64, 0.803051, 36276, 22733, 11478, 2994, 0.758096, 0.978424, 10069, 15870, 214, 358, 0.788764, *
21, 30, 17, 0.046962, 0.055766, 0.046962, 0.001400, 128, 0.056636, 0.000585, 224, 128, 64, 0.844422, 35584, 26465, 7746, 3686, 0.752191, 0.978235, 10077, 15857, 227, 350, 0.795020, *
22, 30, 18, 0.051492, 0.058412, 0.051492, 0.001450, 128, 0.061302, 0.097130, 224, 128, 64, 0.856317, 36310, 26613, 7598, 2960, 0.763922, 0.975105, 10070, 15781, 303, 357, 0.794602, *
23, 39, 23, 0.044684, 0.055650, 0.044684, 0.001243, 128, 0.149800, 0.001387, 224, 128, 64, 0.852356, 35179, 27453, 6758, 4091, 0.727107, 0.978386, 10104, 15834, 250, 323, 0.788953, *
24, 99, 56, 0.023428, 0.027238, 0.023428, 0.000210, 128, 0.030188, 0.029692, 224, 128, 64, 0.666907, 36546, 12459, 21752, 2724, 0.825282, 0.989287, 10251, 15976, 108, 176, 0.788466, *
25, 34, 19, 0.043243, 0.051384, 0.043243, 0.001755, 128, 0.027526, 0.029345, 224, 128, 64, 0.869939, 35705, 28219, 5992, 3565, 0.697093, 0.979141, 10069, 15889, 195, 358, 0.788887, *
26, 37, 21, 0.036251, 0.039514, 0.036251, 0.000116, 128, 0.018421, 0.008098, 224, 128, 64, 0.836175, 33347, 28096, 6115, 5923, 0.801170, 0.983365, 10175, 15895, 189, 252, 0.801246, *
27, 30, 18, 0.042073, 0.050777, 0.042073, 0.000791, 128, 0.043988, 0.038522, 224, 128, 64, 0.821831, 37170, 23219, 10992, 2100, 0.789512, 0.979556, 10137, 15832, 252, 290, 0.795384, *
28, 33, 19, 0.050881, 0.057731, 0.050881, 0.002180, 128, 0.073887, 0.069709, 224, 128, 64, 0.855718, 36446, 26433, 7778, 2824, 0.770615, 0.977632, 10084, 15834, 250, 343, 0.794602, *
29, 29, 16, 0.051681, 0.061016, 0.051681, 0.005493, 128, 0.010194, 0.101958, 224, 128, 64, 0.821573, 35892, 24478, 9733, 3378, 0.763922, 0.975406, 10003, 15856, 228, 424, 0.788466, *
30, 32, 19, 0.052223, 0.062589, 0.052223, 0.008063, 128, 0.041195, 0.149586, 224, 128, 64, 0.856875, 36055, 26909, 7302, 3215, 0.788466, 0.975331, 10057, 15800, 284, 370, 0.794602, *
31, 109, 60, 0.036684, 0.043349, 0.036684, 0.003660, 128, 0.069760, 0.247258, 224, 128, 64, 0.756495, 36826, 18762, 15449, 2444, 0.819432, 0.981932, 10194, 15838, 246, 233, 0.788466, *
32, 35, 20, 0.049947, 0.054900, 0.049947, 0.002173, 128, 0.037227, 0.017068, 224, 128, 64, 0.860481, 33237, 29992, 4219, 6033, 0.739379, 0.976689, 10085, 15808, 276, 342, 0.794898, *
33, 44, 25, 0.045644, 0.051768, 0.045644, 0.001038, 128, 0.111649, 0.066987, 224, 128, 64, 0.819981, 33984, 26269, 7942, 5286, 0.733243, 0.978122, 10062, 15869, 215, 365, 0.782330, *
34, 33, 24, 0.035386, 0.041989, 0.035386, 0.000263, 256, 0.002749, 0.086655, 224, 128, 64, 0.870511, 37031, 26935, 7276, 2239, 0.730372, 0.982460, 10196, 15850, 234, 231, 0.794984, *
35, 44, 26, 0.051137, 0.060523, 0.051137, 0.004264, 128, 0.158964, 0.040829, 224, 128, 64, 0.861257, 35167, 28119, 6092, 4103, 0.764277, 0.973973, 10026, 15795, 289, 401, 0.782330, *
36, 35, 20, 0.046736, 0.059322, 0.046736, 0.002960, 128, 0.075810, 0.028949, 224, 128, 64, 0.847171, 35325, 26926, 7285, 3945, 0.746169, 0.977255, 10048, 15860, 224, 379, 0.794602, *
37, 17, 17, 0.059939, 0.066772, 0.059939, 0.003944, 512, 0.107391, 0.017362, 224, 128, 64, 0.851907, 35103, 27496, 6715, 4167, 0.709163, 0.969484, 9949, 15753, 331, 478, 0.782575, *
38, 72, 43, 0.049722, 0.060381, 0.049722, 0.004701, 128, 0.205669, 0.147997, 224, 128, 64, 0.824512, 33519, 27067, 7144, 5751, 0.703167, 0.975972, 10088, 15786, 298, 339, 0.782330, *
39, 24, 23, 0.036965, 0.045459, 0.036965, 0.001776, 512, 0.030898, 0.057757, 224, 128, 64, 0.815735, 37315, 22626, 11585, 1955, 0.739637, 0.983139, 10173, 15891, 193, 254, 0.789010, *
40, 29, 18, 0.062077, 0.074481, 0.062077, 0.005145, 128, 0.119905, 0.110466, 224, 128, 64, 0.870892, 34975, 29019, 5192, 4295, 0.745515, 0.967749, 9917, 15739, 345, 510, 0.776194, *
41, 86, 61, 0.034474, 0.045118, 0.034474, 0.000869, 256, 0.193705, 0.133233, 224, 128, 64, 0.815449, 35135, 24785, 9426, 4135, 0.782330, 0.982649, 10130, 15921, 163, 297, 0.788638, *
42, 53, 51, 0.027265, 0.028693, 0.027265, 0.000111, 512, 0.012915, 0.080402, 224, 128, 64, 0.768757, 33933, 22556, 11655, 5337, 0.784011, 0.986873, 10234, 15929, 155, 193, 0.788851, *
43, 40, 23, 0.049913, 0.062970, 0.049913, 0.007143, 128, 0.086058, 0.168719, 224, 128, 64, 0.885494, 34845, 30222, 3989, 4425, 0.727107, 0.977142, 10047, 15858, 226, 380, 0.794602, *
44, 18, 16, 0.060252, 0.069787, 0.060252, 0.008750, 512, 0.048801, 0.005851, 224, 128, 64, 0.841864, 35023, 26838, 7373, 4247, 0.782575, 0.969786, 9954, 15756, 328, 473, 0.788638, *
45, 54, 32, 0.051862, 0.062285, 0.051862, 0.002654, 128, 0.249949, 0.040505, 224, 128, 64, 0.847811, 35030, 27268, 6943, 4240, 0.764230, 0.973294, 10061, 15742, 342, 366, 0.782503, *
