Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 103, 21, 0.038921, 0.050709, 0.038921, 0.004427, 64, 0.368585, 0.325898, 32, 16, 8, 0.970056, 3634, 772236, 8642, 15308, 0.078371, 0.953278, 6432, 106052, 2891, 2622, 0.233618
1, 100, 35, 0.033434, 0.039820, 0.033434, 0.003900, 128, 0.418333, 0.456415, 32, 16, 8, 0.966441, 7730, 765249, 15629, 11212, 0.153110, 0.949744, 6847, 105220, 3723, 2207, 0.294703
2, 54, 29, 0.041485, 0.044916, 0.041485, 0.003443, 256, 0.487909, 0.144331, 32, 16, 8, 0.788352, 11521, 619019, 161859, 7421, 0.057000, 0.963957, 6573, 107171, 1772, 2481, 0.195756
3, 68, 36, 0.028875, 0.034116, 0.028875, 0.000358, 256, 0.206331, 0.242223, 32, 16, 8, 0.961613, 5919, 763198, 17680, 13023, 0.169702, 0.964541, 6870, 106943, 2000, 2184, 0.338819
4, 52, 18, 0.033383, 0.039357, 0.033383, 0.008726, 128, 0.187318, 0.291916, 32, 16, 8, 0.968649, 4307, 770438, 10440, 14635, 0.200461, 0.951304, 6518, 105733, 3210, 2536, 0.310991
5, 185, 21, 0.034349, 0.041209, 0.034349, 0.004311, 32, 0.344185, 0.263950, 32, 16, 8, 0.940433, 8650, 743527, 37351, 10292, 0.153832, 0.950083, 6670, 105437, 3506, 2384, 0.276319
6, 70, 24, 0.027821, 0.030434, 0.027821, 0.004700, 128, 0.166757, 0.052654, 32, 16, 8, 0.570461, 10929, 445337, 335541, 8013, 0.285836, 0.967821, 6848, 107352, 1591, 2206, 0.350276
7, 342, 39, 0.026654, 0.028176, 0.026654, 0.000292, 32, 0.129493, 0.041067, 32, 16, 8, 0.666834, 11809, 521538, 259340, 7133, 0.242282, 0.967796, 6764, 107433, 1510, 2290, 0.380190
8, 41, 22, 0.033407, 0.042668, 0.033407, 0.002335, 256, 0.221877, 0.454251, 32, 16, 8, 0.972301, 2435, 775231, 5647, 16507, 0.139505, 0.961109, 6640, 106768, 2175, 2414, 0.280594
9, 157, 18, 0.029789, 0.034331, 0.029789, 0.005705, 32, 0.046130, 0.104711, 32, 16, 8, 0.864797, 10720, 680962, 99916, 8222, 0.090615, 0.962465, 6624, 106944, 1999, 2430, 0.351667
10, 175, 20, 0.029794, 0.032417, 0.029794, 0.000360, 32, 0.255310, 0.146762, 32, 16, 8, 0.904919, 8403, 715369, 65509, 10539, 0.217515, 0.962906, 6318, 107302, 1641, 2736, 0.357812
11, 51, 27, 0.034635, 0.041912, 0.034635, 0.003263, 256, 0.472874, 0.375116, 32, 16, 8, 0.971676, 4298, 772868, 8010, 14644, 0.143005, 0.950168, 6704, 105413, 3530, 2350, 0.262650
12, 36, 19, 0.033800, 0.040164, 0.033800, 0.007371, 256, 0.188121, 0.352663, 32, 16, 8, 0.843501, 11898, 662751, 118127, 7044, 0.077608, 0.951795, 6455, 105854, 3089, 2599, 0.282698
13, 37, 20, 0.042101, 0.050407, 0.042101, 0.009717, 256, 0.355115, 0.229613, 32, 16, 8, 0.652788, 9802, 512311, 268567, 9140, 0.075824, 0.960304, 6505, 106808, 2135, 2549, 0.199134
14, 54, 19, 0.035104, 0.042363, 0.035104, 0.009563, 128, 0.443487, 0.034351, 32, 16, 8, 0.954030, 7152, 755900, 24978, 11790, 0.077179, 0.957931, 6133, 106900, 2043, 2921, 0.275843
15, 27, 25, 0.040863, 0.043982, 0.040863, 0.006509, 512, 0.456281, 0.093042, 32, 16, 8, 0.961094, 6834, 761868, 19010, 12108, 0.069616, 0.960584, 6399, 106947, 1996, 2655, 0.203653
16, 157, 18, 0.046490, 0.057878, 0.046490, 0.006346, 32, 0.005545, 0.445918, 32, 16, 8, 0.866609, 9192, 683939, 96939, 9750, 0.142002, 0.951380, 6105, 106155, 2788, 2949, 0.190501
17, 115, 24, 0.038844, 0.050208, 0.038844, 0.002830, 64, 0.277104, 0.408997, 32, 16, 8, 0.971302, 2676, 774191, 6687, 16266, 0.113628, 0.947863, 6541, 105304, 3639, 2513, 0.229635
18, 96, 20, 0.029736, 0.033461, 0.029736, 0.002815, 64, 0.182012, 0.113995, 32, 16, 8, 0.961939, 5244, 764134, 16744, 13698, 0.145664, 0.963423, 6719, 106962, 1981, 2335, 0.334617
19, 53, 11, 0.048807, 0.056643, 0.048807, 0.009472, 64, 0.270755, 0.249880, 32, 16, 8, 0.965809, 2860, 769613, 11265, 16082, 0.069190, 0.952897, 6246, 106193, 2750, 2808, 0.157025
20, 107, 38, 0.025571, 0.026586, 0.025571, 0.001160, 128, 0.095720, 0.005956, 32, 16, 8, 0.753212, 10690, 591744, 189134, 8252, 0.104561, 0.969474, 6839, 107556, 1387, 2215, 0.404399
21, 38, 34, 0.025729, 0.027238, 0.025729, 0.001564, 512, 0.107166, 0.012361, 32, 16, 8, 0.646375, 11827, 505157, 275721, 7115, 0.213911, 0.969618, 6745, 107667, 1276, 2309, 0.394213
22, 32, 29, 0.025218, 0.026329, 0.025218, 0.001583, 512, 0.098660, 0.000243, 32, 16, 8, 0.746434, 12169, 584844, 196034, 6773, 0.161559, 0.970567, 6761, 107763, 1180, 2293, 0.415800
23, 31, 29, 0.026959, 0.030626, 0.026959, 0.001683, 512, 0.063866, 0.190936, 32, 16, 8, 0.811960, 11289, 638133, 142745, 7653, 0.187943, 0.967347, 7297, 106847, 2096, 1757, 0.350559
24, 41, 37, 0.025023, 0.025717, 0.025023, 0.001471, 512, 0.008092, 0.006529, 32, 16, 8, 0.764423, 13299, 598102, 182776, 5643, 0.250690, 0.971033, 6850, 107729, 1214, 2204, 0.431729
25, 33, 30, 0.027927, 0.031446, 0.027927, 0.001110, 512, 0.008533, 0.182876, 32, 16, 8, 0.944367, 7031, 748293, 32585, 11911, 0.152388, 0.965397, 6890, 107024, 1919, 2164, 0.364819
26, 35, 31, 0.025763, 0.028310, 0.025763, 0.002175, 512, 0.043179, 0.062764, 32, 16, 8, 0.682772, 10315, 535780, 245098, 8627, 0.175593, 0.969787, 7108, 107324, 1619, 1946, 0.378960
27, 36, 33, 0.025618, 0.027356, 0.025618, 0.000845, 512, 0.138535, 0.006897, 32, 16, 8, 0.642867, 11597, 502581, 278297, 7345, 0.228930, 0.969753, 6763, 107665, 1278, 2291, 0.398456
28, 67, 62, 0.025652, 0.027593, 0.025652, 0.001962, 512, 0.009243, 0.078257, 32, 16, 8, 0.677047, 8294, 533222, 247656, 10648, 0.150931, 0.969059, 7193, 107153, 1790, 1861, 0.382511
29, 38, 34, 0.027868, 0.031801, 0.027868, 0.005257, 512, 0.072164, 0.136319, 32, 16, 8, 0.570645, 11459, 444954, 335924, 7483, 0.267009, 0.966796, 6819, 107260, 1683, 2235, 0.356685
Best model
{'batch_size': 512, 'dropout_rate': 0.008091994801915317, 'dropout_rate_1': 0.006529174320072245, 'layer': 32, 'layer_1': 16, 'layer_2': 8, 'lr': 0.0014711092645923697}
