Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 41, 11, 0.009877, 0.009941, 0.009877, 0.004427, 64, 0.368585, 0.325898, 32, 16, 8, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
1, 33, 15, 0.009421, 0.009504, 0.009421, 0.003900, 128, 0.418333, 0.456415, 32, 16, 8, 0.846340, 2357, 369721, 64893, 2661, 0.008132, 0.990344, 20, 87058, 0, 849, 0.289584
2, 30, 21, 0.009271, 0.009052, 0.009271, 0.003443, 256, 0.487909, 0.144331, 32, 16, 8, 0.891835, 2317, 389762, 44852, 2701, 0.016073, 0.990447, 31, 87056, 2, 838, 0.390594
3, 66, 47, 0.008082, 0.008161, 0.008082, 0.000358, 256, 0.206331, 0.242223, 32, 16, 8, 0.983882, 830, 431716, 2898, 4188, 0.155583, 0.989673, 223, 86796, 262, 646, 0.170528
4, 24, 11, 0.009877, 0.009904, 0.009877, 0.008726, 128, 0.187318, 0.291916, 32, 16, 8, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
5, 74, 11, 0.009877, 0.009890, 0.009877, 0.004311, 32, 0.344185, 0.263950, 32, 16, 8, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
6, 59, 27, 0.008182, 0.008637, 0.008182, 0.004700, 128, 0.166757, 0.052654, 32, 16, 8, 0.962305, 1969, 421091, 13523, 3049, 0.104309, 0.982906, 357, 86067, 991, 512, 0.105666
7, 282, 43, 0.007309, 0.007769, 0.007309, 0.000292, 32, 0.129493, 0.041067, 32, 16, 8, 0.985476, 623, 432624, 1990, 4395, 0.208219, 0.991789, 224, 86981, 77, 645, 0.380204
8, 31, 22, 0.008704, 0.008768, 0.008704, 0.002335, 256, 0.221877, 0.454251, 32, 16, 8, 0.841192, 3680, 366135, 68479, 1338, 0.021769, 0.927633, 610, 80954, 6104, 259, 0.027631
9, 254, 39, 0.008488, 0.008826, 0.008488, 0.005705, 32, 0.046130, 0.104711, 32, 16, 8, 0.861170, 2722, 375876, 58738, 2296, 0.078789, 0.990685, 101, 87007, 51, 768, 0.273101
10, 213, 33, 0.007929, 0.008361, 0.007929, 0.000360, 32, 0.255310, 0.146762, 32, 16, 8, 0.981064, 1062, 430245, 4369, 3956, 0.121598, 0.991447, 145, 87030, 28, 724, 0.303758
11, 22, 16, 0.009371, 0.009306, 0.009371, 0.003263, 256, 0.472874, 0.375116, 32, 16, 8, 0.987922, 69, 434253, 361, 4949, 0.094242, 0.990367, 27, 87053, 5, 842, 0.232960
12, 18, 13, 0.009215, 0.009342, 0.009215, 0.007371, 256, 0.188121, 0.352663, 32, 16, 8, 0.987849, 76, 434214, 400, 4942, 0.141578, 0.990424, 31, 87054, 4, 838, 0.408415
13, 16, 11, 0.009877, 0.009930, 0.009877, 0.009717, 256, 0.355115, 0.229613, 32, 16, 8, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
14, 24, 11, 0.009877, 0.009939, 0.009877, 0.009563, 128, 0.443487, 0.034351, 32, 16, 8, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
15, 10, 12, 0.009355, 0.009366, 0.009355, 0.006509, 512, 0.456281, 0.093042, 32, 16, 8, 0.916908, 1951, 401151, 33463, 3067, 0.015282, 0.925813, 424, 80980, 6078, 445, 0.019842
16, 72, 11, 0.009877, 0.009880, 0.009877, 0.006346, 32, 0.005545, 0.445918, 32, 16, 8, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990105, 0, 87057, 1, 869, 0.000338
17, 90, 25, 0.009124, 0.009151, 0.009124, 0.002830, 64, 0.277104, 0.408997, 32, 16, 8, 0.842871, 2318, 368235, 66379, 2700, 0.029274, 0.938017, 473, 82004, 5054, 396, 0.026798
18, 112, 31, 0.008277, 0.008623, 0.008277, 0.002815, 64, 0.182012, 0.113995, 32, 16, 8, 0.966686, 1721, 423265, 11349, 3297, 0.111090, 0.990390, 26, 87056, 2, 843, 0.807471
19, 39, 11, 0.009877, 0.009913, 0.009877, 0.009472, 64, 0.270755, 0.249880, 32, 16, 8, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
20, 157, 24, 0.007523, 0.008072, 0.007523, 0.000494, 32, 0.103073, 0.175739, 32, 16, 8, 0.984917, 560, 432441, 2173, 4458, 0.157187, 0.991675, 233, 86962, 96, 636, 0.282234
21, 73, 11, 0.009877, 0.009884, 0.009877, 0.001564, 32, 0.107166, 0.003245, 32, 16, 8, 0.988586, 0, 434614, 0, 5018, 0.000316, 0.990117, 0, 87058, 0, 869, 0.000316
22, 187, 28, 0.007725, 0.008122, 0.007725, 0.001450, 32, 0.098660, 0.194260, 32, 16, 8, 0.984339, 667, 432080, 2534, 4351, 0.208628, 0.991413, 137, 87035, 23, 732, 0.469201
23, 29, 34, 0.007658, 0.007957, 0.007658, 0.001243, 512, 0.110217, 0.186013, 32, 16, 8, 0.981475, 941, 430547, 4067, 4077, 0.126932, 0.991095, 225, 86919, 139, 644, 0.233968
24, 367, 55, 0.007030, 0.007229, 0.007030, 0.000347, 32, 0.006529, 0.003123, 32, 16, 8, 0.983550, 844, 431556, 3058, 4174, 0.148256, 0.991834, 208, 87001, 57, 661, 0.416386
25, 101, 15, 0.008756, 0.008722, 0.008756, 0.001755, 32, 0.005022, 0.005646, 32, 16, 8, 0.945241, 1329, 414229, 20385, 3689, 0.112733, 0.989753, 130, 86896, 162, 739, 0.257891
26, 166, 25, 0.007612, 0.007833, 0.007612, 0.000843, 32, 0.051967, 0.054333, 32, 16, 8, 0.986052, 179, 433321, 1293, 4839, 0.228836, 0.991482, 144, 87034, 24, 725, 0.513770
27, 19, 22, 0.007555, 0.007929, 0.007555, 0.002201, 512, 0.052755, 0.077151, 32, 16, 8, 0.979014, 864, 429542, 5072, 4154, 0.199806, 0.991186, 233, 86919, 139, 636, 0.302002
28, 408, 61, 0.007317, 0.007578, 0.007317, 0.000139, 32, 0.147774, 0.004803, 32, 16, 8, 0.986227, 399, 433178, 1436, 4619, 0.240888, 0.991948, 227, 86992, 66, 642, 0.324118
29, 73, 11, 0.009877, 0.009823, 0.009877, 0.005488, 32, 0.024084, 0.036823, 32, 16, 8, 0.988579, 0, 434611, 3, 5018, 0.000538, 0.990117, 0, 87058, 0, 869, 0.000316
Best model
{'batch_size': 32, 'dropout_rate': 0.006529174320072245, 'dropout_rate_1': 0.0031229254715701496, 'layer': 32, 'layer_1': 16, 'layer_2': 8, 'lr': 0.0003474727731525673}
