Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 325, 27, 0.030199, 0.034301, 0.030199, 0.004427, 64, 0.368585, 0.325898, 224, 128, 64, 0.959706, 6674, 760918, 19960, 12268, 0.161010, 0.959211, 6424, 106760, 2183, 2630, 0.354017
1, 110, 19, 0.031977, 0.035672, 0.031977, 0.003900, 128, 0.418333, 0.456415, 224, 128, 64, 0.935681, 8960, 739416, 41462, 9982, 0.128982, 0.958363, 6529, 106555, 2388, 2525, 0.321508
2, 82, 19, 0.030639, 0.031471, 0.030639, 0.003443, 256, 0.487909, 0.144331, 224, 128, 64, 0.965582, 2371, 769921, 10957, 16571, 0.161230, 0.962685, 6468, 107126, 1817, 2586, 0.331344
3, 145, 34, 0.024927, 0.026402, 0.024927, 0.000358, 256, 0.206331, 0.242223, 224, 128, 64, 0.831044, 11030, 653656, 127222, 7912, 0.194013, 0.970804, 6905, 107647, 1296, 2149, 0.401828
4, 127, 22, 0.030618, 0.035482, 0.030618, 0.008726, 128, 0.187318, 0.291916, 224, 128, 64, 0.960294, 6604, 761458, 19420, 12338, 0.147708, 0.957990, 7083, 105957, 2986, 1971, 0.313412
5, 302, 18, 0.030671, 0.035171, 0.030671, 0.004311, 32, 0.344185, 0.263950, 224, 128, 64, 0.934290, 9578, 737686, 43192, 9364, 0.142058, 0.957423, 6841, 106132, 2811, 2213, 0.312931
6, 246, 42, 0.027243, 0.029155, 0.027243, 0.004700, 128, 0.166757, 0.052654, 224, 128, 64, 0.659785, 10524, 517185, 263693, 8418, 0.290264, 0.968186, 6807, 107436, 1507, 2247, 0.386301
7, 707, 42, 0.023404, 0.024685, 0.023404, 0.000292, 32, 0.129493, 0.041067, 224, 128, 64, 0.691611, 9873, 543291, 237587, 9069, 0.539675, 0.973050, 7058, 107759, 1184, 1996, 0.443311
8, 108, 25, 0.027591, 0.030894, 0.027591, 0.002335, 256, 0.221877, 0.454251, 224, 128, 64, 0.880872, 10084, 694455, 86423, 8858, 0.126846, 0.964406, 7013, 106784, 2159, 2041, 0.369148
9, 204, 12, 0.029462, 0.032714, 0.029462, 0.005705, 32, 0.046130, 0.104711, 224, 128, 64, 0.829925, 11993, 651798, 129080, 6949, 0.095492, 0.962762, 6466, 107137, 1806, 2588, 0.378074
10, 525, 31, 0.024959, 0.026867, 0.024959, 0.000360, 32, 0.255310, 0.146762, 224, 128, 64, 0.676981, 12746, 528717, 252161, 6196, 0.210308, 0.970982, 6900, 107673, 1270, 2154, 0.420571
11, 106, 24, 0.029789, 0.033113, 0.029789, 0.003263, 256, 0.472874, 0.375116, 224, 128, 64, 0.925166, 10105, 729861, 51017, 8837, 0.114505, 0.961702, 6858, 106620, 2323, 2196, 0.326534
12, 79, 19, 0.029711, 0.032996, 0.029711, 0.007371, 256, 0.188121, 0.352663, 224, 128, 64, 0.876721, 11454, 689765, 91113, 7488, 0.096313, 0.962380, 6680, 106878, 2065, 2374, 0.349566
13, 77, 18, 0.030459, 0.033893, 0.030459, 0.009717, 256, 0.355115, 0.229613, 224, 128, 64, 0.848843, 11725, 667197, 113681, 7217, 0.086500, 0.960779, 7024, 106345, 2598, 2030, 0.316577
14, 63, 11, 0.034613, 0.039500, 0.034613, 0.009563, 128, 0.443487, 0.034351, 224, 128, 64, 0.928608, 8704, 734015, 46863, 10238, 0.117122, 0.958567, 6006, 107102, 1841, 3048, 0.286389
15, 65, 19, 0.030394, 0.032977, 0.030394, 0.006509, 512, 0.456281, 0.093042, 224, 128, 64, 0.926586, 9750, 731352, 49526, 9192, 0.118797, 0.962999, 6279, 107352, 1591, 2775, 0.341023
16, 279, 17, 0.030996, 0.036808, 0.030996, 0.006346, 32, 0.005545, 0.445918, 224, 128, 64, 0.969076, 4413, 770673, 10205, 14529, 0.129223, 0.961940, 6474, 107032, 1911, 2580, 0.336703
17, 265, 22, 0.029312, 0.033149, 0.029312, 0.002830, 64, 0.277104, 0.408997, 224, 128, 64, 0.772543, 10940, 606955, 173923, 8002, 0.155123, 0.960253, 6903, 106404, 2539, 2151, 0.335363
18, 312, 26, 0.027091, 0.029477, 0.027091, 0.002815, 64, 0.182012, 0.113995, 224, 128, 64, 0.651109, 9103, 511667, 269211, 9839, 0.347785, 0.968355, 6678, 107585, 1358, 2376, 0.372504
19, 206, 17, 0.032199, 0.036589, 0.032199, 0.009472, 64, 0.270755, 0.249880, 224, 128, 64, 0.917666, 10044, 723924, 56954, 8898, 0.117285, 0.958245, 6258, 106812, 2131, 2796, 0.328081
20, 157, 45, 0.023800, 0.025367, 0.023800, 0.000494, 512, 0.095720, 0.203926, 224, 128, 64, 0.823545, 10843, 647845, 133033, 8099, 0.306190, 0.971931, 7012, 107673, 1270, 2042, 0.428301
21, 217, 61, 0.023517, 0.024491, 0.023517, 0.001564, 512, 0.107166, 0.007211, 224, 128, 64, 0.750421, 11704, 588498, 192380, 7238, 0.215738, 0.972940, 6911, 107893, 1050, 2143, 0.426757
22, 179, 52, 0.024225, 0.024869, 0.024225, 0.001583, 512, 0.098660, 0.022454, 224, 128, 64, 0.728443, 9028, 573595, 207283, 9914, 0.352663, 0.972254, 6929, 107794, 1149, 2125, 0.442877
23, 168, 49, 0.023379, 0.024454, 0.023379, 0.001243, 512, 0.126976, 0.002774, 224, 128, 64, 0.794685, 10308, 625297, 155581, 8634, 0.483650, 0.973313, 7028, 107820, 1123, 2026, 0.437940
24, 680, 41, 0.024304, 0.025783, 0.024304, 0.001315, 32, 0.002014, 0.064649, 224, 128, 64, 0.795088, 10981, 624946, 155932, 7961, 0.434102, 0.972423, 6970, 107773, 1170, 2084, 0.420191
25, 205, 59, 0.024178, 0.025886, 0.024178, 0.000990, 512, 0.129500, 0.185407, 224, 128, 64, 0.754880, 10914, 592854, 188024, 8028, 0.168596, 0.971957, 6883, 107805, 1138, 2171, 0.419178
26, 79, 23, 0.024724, 0.025848, 0.024724, 0.002122, 512, 0.051967, 0.004757, 224, 128, 64, 0.901730, 12464, 708758, 72120, 6478, 0.178031, 0.971042, 6749, 107831, 1112, 2305, 0.445166
27, 449, 27, 0.024951, 0.026581, 0.024951, 0.000791, 32, 0.050664, 0.070494, 224, 128, 64, 0.629443, 12630, 490811, 290067, 6312, 0.392921, 0.971491, 6774, 107859, 1084, 2280, 0.435349
28, 311, 92, 0.023933, 0.025280, 0.023933, 0.000118, 512, 0.308732, 0.149275, 224, 128, 64, 0.777410, 11243, 610545, 170333, 7699, 0.167302, 0.972440, 6950, 107795, 1148, 2104, 0.412462
29, 265, 16, 0.027519, 0.029517, 0.027519, 0.005404, 32, 0.154020, 0.005326, 224, 128, 64, 0.609828, 11611, 476142, 304736, 7331, 0.304967, 0.966525, 6586, 107461, 1482, 2468, 0.403268
Best model
