Trials
trial_id, time, epochs, val_acc, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 78, 26, 0.966416, 0.043437, 0.031314, 0.004427, 64, 0.368585, 0.325898, 0.849213, 34240, 28161, 6050, 5030, 0.427283, 0.965524, 9951, 15646, 438, 476, 0.491403
1, 29, 19, 0.938890, 0.050954, 0.044595, 0.003900, 128, 0.418333, 0.456415, 0.890720, 34096, 31355, 2856, 5174, 0.374307, 0.938592, 9135, 15748, 336, 1292, 0.496033
2, 20, 17, 0.957972, 0.042590, 0.039103, 0.003443, 256, 0.487909, 0.144331, 0.858059, 31715, 31336, 2875, 7555, 0.366651, 0.960696, 9777, 15692, 392, 650, 0.459938
3, 89, 75, 0.980688, 0.019795, 0.016436, 0.000358, 256, 0.206331, 0.242223, 0.823914, 33566, 26976, 7235, 5704, 0.510938, 0.977104, 9873, 16031, 53, 554, 0.678773
4, 40, 26, 0.964844, 0.045772, 0.030856, 0.008726, 128, 0.187318, 0.291916, 0.818280, 35537, 24591, 9620, 3733, 0.446818, 0.964468, 9774, 15795, 289, 653, 0.530691
5, 115, 27, 0.956235, 0.049833, 0.039172, 0.004311, 32, 0.344185, 0.263950, 0.793647, 28729, 29589, 4622, 10541, 0.444826, 0.956169, 9750, 15599, 485, 677, 0.479943
6, 43, 27, 0.970327, 0.030523, 0.024636, 0.004700, 128, 0.166757, 0.052654, 0.831222, 32348, 28731, 5480, 6922, 0.427070, 0.970088, 9950, 15768, 316, 477, 0.515818
7, 236, 56, 0.984130, 0.015864, 0.013597, 0.000292, 32, 0.129493, 0.041067, 0.884637, 36008, 28996, 5215, 3262, 0.510525, 0.976764, 9874, 16021, 63, 553, 0.719299
8, 47, 40, 0.967574, 0.034741, 0.027489, 0.002335, 256, 0.221877, 0.454251, 0.840966, 34522, 27273, 6938, 4748, 0.472111, 0.971521, 9937, 15819, 265, 490, 0.539291
9, 80, 19, 0.968142, 0.037523, 0.027892, 0.005705, 32, 0.046130, 0.104711, 0.806984, 34292, 25006, 9205, 4978, 0.454476, 0.968126, 9958, 15708, 376, 469, 0.496976
10, 284, 68, 0.978249, 0.020541, 0.018203, 0.000360, 32, 0.255310, 0.146762, 0.841007, 34214, 27584, 6627, 5056, 0.451119, 0.975105, 9883, 15968, 116, 544, 0.652165
11, 17, 13, 0.932913, 0.052185, 0.045937, 0.003263, 256, 0.472874, 0.375116, 0.857677, 31500, 31523, 2688, 7770, 0.350137, 0.931236, 8937, 15751, 333, 1490, 0.521021
12, 45, 36, 0.970966, 0.035455, 0.025786, 0.007371, 256, 0.188121, 0.352663, 0.811040, 34854, 24742, 9469, 4416, 0.485679, 0.970126, 9901, 15818, 266, 526, 0.548462
13, 23, 18, 0.958874, 0.045531, 0.034719, 0.009717, 256, 0.355115, 0.229613, 0.842925, 34061, 27878, 6333, 5209, 0.407171, 0.959036, 9743, 15682, 402, 684, 0.511879
14, 19, 12, 0.944934, 0.054884, 0.043697, 0.009563, 128, 0.443487, 0.034351, 0.780896, 27346, 30035, 4176, 11924, 0.312409, 0.943835, 9125, 15897, 187, 1302, 0.512058
15, 18, 19, 0.952601, 0.040634, 0.042970, 0.006509, 512, 0.456281, 0.093042, 0.837346, 30245, 31284, 2927, 9025, 0.340735, 0.940930, 9059, 15886, 198, 1368, 0.574812
16, 164, 37, 0.964792, 0.042840, 0.031042, 0.006346, 32, 0.005545, 0.445918, 0.834012, 33758, 27526, 6685, 5512, 0.560418, 0.965863, 9739, 15867, 217, 688, 0.674281
17, 84, 27, 0.964674, 0.039712, 0.031489, 0.002830, 64, 0.277104, 0.408997, 0.855718, 37038, 25841, 8370, 2232, 0.457034, 0.965147, 9901, 15686, 398, 526, 0.524963
18, 106, 34, 0.968675, 0.030171, 0.026206, 0.002815, 64, 0.182012, 0.113995, 0.833862, 32243, 29030, 5181, 7027, 0.461346, 0.967598, 9866, 15786, 298, 561, 0.518803
19, 43, 14, 0.950743, 0.068149, 0.039437, 0.009472, 64, 0.270755, 0.249880, 0.857378, 32928, 30073, 4138, 6342, 0.424160, 0.951039, 9755, 15458, 626, 672, 0.508460
Best model
{'batch_size': 32, 'first_dropout_rate': 0.1294929579149945, 'first_dropout_rate_1': 0.041066807064350896, 'lr': 0.0002921490956005647}
