Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 98, 37, 0.067086, 0.075457, 0.067086, 0.004427, 64, 0.422515, 0.305438, 128, 256, 64, 0.847335, 32454, 29809, 4402, 6816, 0.628932, 0.965712, 9873, 15729, 355, 554, 0.782330
1, 33, 14, 0.077259, 0.095612, 0.077259, 0.003900, 64, 0.348754, 0.257640, 256, 64, 128, 0.844817, 33316, 28762, 5449, 5954, 0.671884, 0.960545, 9949, 15516, 568, 478, 0.763922
2, 11, 13, 0.083270, 0.095270, 0.083270, 0.003443, 512, 0.281191, 0.197497, 128, 64, 256, 0.861651, 33895, 29420, 4791, 5375, 0.641204, 0.960356, 9829, 15631, 453, 598, 0.763922
3, 79, 20, 0.046602, 0.054008, 0.046602, 0.000358, 32, 0.058649, 0.422212, 128, 128, 128, 0.812564, 34643, 25065, 9146, 4627, 0.751651, 0.976425, 10083, 15803, 281, 344, 0.789010
4, 24, 16, 0.081774, 0.093221, 0.081774, 0.008726, 512, 0.476637, 0.068748, 128, 256, 256, 0.888951, 35057, 30264, 3947, 4213, 0.641204, 0.961148, 9875, 15606, 478, 552, 0.763922
5, 189, 31, 0.062588, 0.072623, 0.062588, 0.004311, 32, 0.476214, 0.140690, 256, 256, 256, 0.862223, 33604, 29753, 4458, 5666, 0.733243, 0.968466, 9920, 15755, 329, 507, 0.776194
6, 80, 19, 0.062943, 0.073316, 0.062943, 0.004700, 32, 0.114191, 0.271121, 256, 64, 64, 0.851499, 34836, 27733, 6478, 4434, 0.776194, 0.969748, 9955, 15754, 330, 472, 0.776194
7, 228, 40, 0.034956, 0.040579, 0.034956, 0.000292, 32, 0.146636, 0.365115, 256, 256, 128, 0.752399, 36886, 18401, 15810, 2384, 0.788810, 0.982536, 10184, 15864, 220, 243, 0.788466
8, 94, 30, 0.066400, 0.075745, 0.066400, 0.002335, 64, 0.393533, 0.262316, 128, 256, 256, 0.832120, 31559, 29586, 4625, 7711, 0.696427, 0.969937, 9908, 15806, 278, 519, 0.776194
9, 118, 27, 0.063709, 0.077601, 0.063709, 0.005705, 32, 0.382897, 0.372315, 256, 64, 128, 0.822308, 33986, 26438, 7773, 5284, 0.739379, 0.969107, 9961, 15731, 353, 466, 0.776194
10, 214, 79, 0.021834, 0.025664, 0.021834, 0.000360, 64, 0.094454, 0.000503, 64, 256, 256, 0.758890, 37107, 18657, 15554, 2163, 0.811230, 0.990495, 10299, 15960, 124, 128, 0.795193
11, 54, 39, 0.042218, 0.052040, 0.042218, 0.003263, 256, 0.108864, 0.159497, 128, 256, 64, 0.728896, 36334, 17226, 16985, 2936, 0.697243, 0.979216, 10157, 15803, 281, 270, 0.788638
12, 34, 12, 0.092900, 0.115787, 0.092900, 0.007371, 64, 0.408543, 0.229588, 64, 256, 256, 0.885916, 33970, 31128, 3083, 5300, 0.598253, 0.954359, 9797, 15504, 580, 630, 0.745515
