Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 56, 38, 0.092492, 0.107903, 0.092492, 0.004427, 64, 0.422515, 0.305438, 128, 256, 64, 0.894102, 43215, 75300, 5118, 8919, 0.739379, 0.958223, 7526, 6557, 286, 328, 0.800738
1, 43, 32, 0.090668, 0.106674, 0.090668, 0.003900, 64, 0.348754, 0.257640, 256, 64, 128, 0.884234, 43112, 74095, 6323, 9022, 0.757787, 0.959039, 7518, 6577, 266, 336, 0.819311
2, 6, 12, 0.117711, 0.136468, 0.117711, 0.003443, 512, 0.281191, 0.197497, 128, 64, 256, 0.932872, 48376, 75278, 5140, 3758, 0.641204, 0.944138, 7398, 6478, 365, 456, 0.806874
3, 158, 90, 0.049090, 0.056458, 0.049090, 0.000358, 32, 0.058649, 0.422212, 128, 128, 128, 0.927251, 45302, 77607, 2811, 6832, 0.517759, 0.975505, 7628, 6709, 134, 226, 0.813010
4, 15, 19, 0.101396, 0.120930, 0.101396, 0.008726, 512, 0.476637, 0.068748, 128, 256, 256, 0.906490, 45666, 74491, 5927, 6468, 0.733243, 0.955025, 7462, 6574, 269, 392, 0.825282
5, 127, 48, 0.075947, 0.091456, 0.075947, 0.004311, 32, 0.476214, 0.140690, 256, 256, 256, 0.917104, 43266, 78298, 2120, 8868, 0.644119, 0.964687, 7542, 6636, 207, 312, 0.825282
6, 41, 21, 0.088232, 0.101074, 0.088232, 0.004700, 32, 0.114191, 0.271121, 256, 64, 64, 0.896252, 43036, 75764, 4654, 9098, 0.735313, 0.958087, 7529, 6552, 291, 325, 0.813010
7, 190, 77, 0.039588, 0.053045, 0.039588, 0.000292, 32, 0.146636, 0.365115, 256, 256, 128, 0.938862, 46485, 77963, 2455, 5649, 0.375963, 0.981629, 7678, 6749, 94, 176, 0.813245
8, 94, 54, 0.082911, 0.090594, 0.082911, 0.002335, 64, 0.393533, 0.262316, 128, 256, 256, 0.917006, 44698, 76853, 3565, 7436, 0.647375, 0.964551, 7567, 6609, 234, 287, 0.806874
9, 27, 13, 0.117632, 0.135804, 0.117632, 0.005705, 32, 0.382897, 0.372315, 256, 64, 128, 0.906814, 44746, 75454, 4964, 7388, 0.727107, 0.940872, 7394, 6434, 409, 460, 0.819146
10, 140, 89, 0.035211, 0.042394, 0.035211, 0.000360, 64, 0.094454, 0.000503, 64, 256, 256, 0.702547, 20719, 72405, 8013, 31415, 0.199581, 0.984419, 7711, 6757, 86, 143, 0.819786
11, 55, 66, 0.056963, 0.067062, 0.056963, 0.003263, 256, 0.108864, 0.159497, 128, 256, 64, 0.918507, 45940, 75810, 4608, 6194, 0.244897, 0.973192, 7600, 6703, 140, 254, 0.813587
12, 97, 60, 0.097158, 0.103099, 0.097158, 0.007371, 64, 0.408543, 0.229588, 64, 256, 256, 0.848535, 45689, 66786, 13632, 6445, 0.776194, 0.959584, 7511, 6592, 251, 343, 0.788709
13, 35, 48, 0.092339, 0.106689, 0.092339, 0.009717, 512, 0.380201, 0.321564, 256, 128, 64, 0.866166, 43065, 71747, 8671, 9069, 0.720971, 0.959924, 7560, 6548, 295, 294, 0.806874
14, 8, 14, 0.107468, 0.122271, 0.107468, 0.009563, 256, 0.192026, 0.111628, 128, 128, 64, 0.900929, 47088, 72332, 8086, 5046, 0.671884, 0.950670, 7464, 6508, 335, 390, 0.813010
15, 14, 26, 0.070630, 0.084001, 0.070630, 0.006509, 256, 0.071629, 0.126271, 64, 128, 64, 0.911816, 43492, 77371, 3047, 8642, 0.367637, 0.967272, 7562, 6654, 189, 292, 0.819550
16, 12, 26, 0.097110, 0.101761, 0.097110, 0.006346, 512, 0.240367, 0.207741, 64, 128, 128, 0.887621, 43183, 74473, 5945, 8951, 0.763922, 0.956794, 7529, 6533, 310, 325, 0.819146
17, 63, 80, 0.081389, 0.092522, 0.081389, 0.002830, 512, 0.269212, 0.380016, 256, 128, 64, 0.891726, 43277, 74923, 5495, 8857, 0.770058, 0.962645, 7510, 6638, 205, 344, 0.806874
18, 44, 50, 0.073385, 0.080360, 0.073385, 0.002815, 256, 0.170517, 0.305428, 128, 256, 64, 0.879617, 44009, 72586, 7832, 8125, 0.167341, 0.963394, 7507, 6652, 191, 347, 0.813010
19, 0, 0, 0, 0, 0, 0.009472, 128, 0.411328, 0.008747, 128, 64, 64, FAIL
20, 95, 87, 0.051268, 0.067035, 0.051268, 0.000494, 128, 0.158288, 0.499481, 64, 256, 128, 0.927598, 45375, 77580, 2838, 6759, 0.641558, 0.975981, 7640, 6704, 139, 214, 0.813010
21, 167, 67, 0.056462, 0.062608, 0.056462, 0.001400, 32, 0.006696, 0.497792, 64, 256, 256, 0.945184, 46549, 78737, 1681, 5585, 0.358924, 0.971151, 7626, 6647, 196, 228, 0.813010
22, 67, 45, 0.052108, 0.061471, 0.052108, 0.001450, 64, 0.005138, 0.448189, 64, 256, 128, 0.920122, 43693, 78271, 2147, 8441, 0.205505, 0.975505, 7635, 6702, 141, 219, 0.813562
