Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 27, 14, 0.112081, 0.125318, 0.112081, 0.004427, 64, 0.422515, 0.305438, 128, 256, 64, 0.908873, 45759, 74714, 5704, 6375, 0.720971, 0.948221, 7433, 6503, 340, 421, 0.819146
1, 21, 11, 0.129951, 0.223103, 0.129951, 0.003900, 64, 0.348754, 0.257640, 256, 64, 128, 0.930284, 48310, 75001, 5417, 3824, 0.662919, 0.943254, 7379, 6484, 359, 475, 0.802235
2, 36, 27, 0.082064, 0.099282, 0.082064, 0.003443, 512, 0.281191, 0.197497, 128, 64, 256, 0.909062, 44691, 75807, 4611, 7443, 0.739379, 0.958631, 7536, 6553, 290, 318, 0.819146
3, 42, 17, 0.084821, 0.098755, 0.084821, 0.000358, 32, 0.058649, 0.422212, 128, 128, 128, 0.900190, 44730, 74592, 5826, 7404, 0.739379, 0.963190, 7558, 6598, 245, 296, 0.807110
4, 0, 0, 0, 0, 0, 0.008726, 512, 0.476637, 0.068748, 128, 256, 256, FAIL
5, 0, 0, 0, 0, 0, 0.004311, 32, 0.476214, 0.140690, 256, 256, 256, FAIL
6, 0, 0, 0, 0, 0, 0.004700, 32, 0.114191, 0.271121, 256, 64, 64, FAIL
7, 407, 125, 0.038513, 0.043116, 0.038513, 0.000292, 32, 0.146636, 0.365115, 256, 256, 128, 0.913000, 43949, 77071, 3347, 8185, 0.663697, 0.981085, 7685, 6734, 109, 169, 0.807318
8, 42, 17, 0.103110, 0.114159, 0.103110, 0.002335, 64, 0.393533, 0.262316, 128, 256, 256, 0.905298, 44654, 75345, 5073, 7480, 0.733243, 0.954685, 7521, 6510, 333, 333, 0.800738
9, 0, 0, 0, 0, 0, 0.005705, 32, 0.382897, 0.372315, 256, 64, 128, FAIL
10, 0, 0, 0, 0, 0, 0.000360, 64, 0.094454, 0.000503, 64, 256, 256, FAIL
11, 12, 12, 0.116570, 0.133703, 0.116570, 0.003263, 256, 0.108864, 0.159497, 128, 256, 64, 0.892035, 44927, 73314, 7104, 7207, 0.727107, 0.946792, 7366, 6549, 294, 488, 0.788789
12, 0, 0, 0, 0, 0, 0.007371, 64, 0.408543, 0.229588, 64, 256, 256, FAIL
13, 16, 11, 0.931912, 0.639091, 0.931912, 0.009717, 512, 0.380201, 0.321564, 256, 128, 64, 0.933090, 47959, 75724, 4694, 4175, 0.158326, 0.889978, 6389, 6691, 152, 1465, 0.176501
14, 20, 21, 0.096672, 0.112146, 0.096672, 0.009563, 256, 0.192026, 0.111628, 128, 128, 64, 0.790060, 45120, 59604, 20814, 7014, 0.592117, 0.956318, 7470, 6585, 258, 384, 0.800738
