Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 22, 13, 0.054928, 0.056596, 0.054928, 0.004427, 64, 0.422515, 0.305438, 128, 256, 64, 0.924671, 45745, 76822, 3596, 6389, 0.518624, 0.925019, 6880, 6715, 128, 974, 0.621622
1, 32, 20, 0.040835, 0.047493, 0.040835, 0.003900, 64, 0.348754, 0.257640, 256, 64, 128, 0.895234, 45362, 73303, 7115, 6772, 0.437950, 0.950534, 7256, 6714, 129, 598, 0.647537
2, 37, 37, 0.037273, 0.040015, 0.037273, 0.003443, 512, 0.281191, 0.197497, 128, 64, 256, 0.889032, 45724, 72119, 8299, 6410, 0.481360, 0.947744, 7173, 6756, 87, 681, 0.618919
3, 168, 76, 0.017247, 0.021963, 0.017247, 0.000358, 32, 0.058649, 0.422212, 128, 128, 128, 0.893227, 42919, 75480, 4938, 9215, 0.282535, 0.975777, 7520, 6821, 22, 334, 0.722305
4, 23, 18, 0.048641, 0.053927, 0.048641, 0.008726, 512, 0.476637, 0.068748, 128, 256, 256, 0.924671, 45863, 76704, 3714, 6271, 0.557539, 0.927128, 6925, 6701, 142, 929, 0.613530
5, 50, 15, 0.060345, 0.056158, 0.060345, 0.004311, 32, 0.476214, 0.140690, 256, 256, 256, 0.926534, 45085, 77729, 2689, 7049, 0.574093, 0.910322, 6679, 6700, 143, 1175, 0.590808
6, 39, 17, 0.034522, 0.043660, 0.034522, 0.004700, 32, 0.114191, 0.271121, 256, 64, 64, 0.781595, 40128, 63474, 16944, 12006, 0.562488, 0.947132, 7146, 6774, 69, 708, 0.716904
7, 218, 73, 0.016400, 0.020720, 0.016400, 0.000292, 32, 0.146636, 0.365115, 256, 256, 128, 0.890835, 43784, 74298, 6120, 8350, 0.189698, 0.976798, 7551, 6805, 38, 303, 0.683096
8, 84, 38, 0.041999, 0.042121, 0.041999, 0.002335, 64, 0.393533, 0.262316, 128, 256, 256, 0.453067, 42151, 17904, 62514, 9983, 0.519423, 0.948765, 7194, 6750, 93, 660, 0.611264
9, 130, 52, 0.045008, 0.051232, 0.045008, 0.005705, 32, 0.382897, 0.372315, 256, 64, 128, 0.547272, 37032, 35510, 44908, 15102, 0.504505, 0.947949, 7316, 6616, 227, 538, 0.530778
10, 176, 89, 0.011345, 0.013193, 0.011345, 0.000360, 64, 0.094454, 0.000503, 64, 256, 256, 0.713539, 20942, 73639, 6779, 31192, 0.433078, 0.980880, 7587, 6829, 14, 267, 0.809142
11, 47, 53, 0.026414, 0.030933, 0.026414, 0.003263, 256, 0.108864, 0.159497, 128, 256, 64, 0.902333, 42342, 77264, 3154, 9792, 0.646754, 0.968565, 7447, 6788, 55, 407, 0.627923
12, 42, 21, 0.056176, 0.061878, 0.056176, 0.007371, 64, 0.408543, 0.229588, 64, 256, 256, 0.908821, 47698, 72768, 7650, 4436, 0.411212, 0.942709, 7295, 6560, 283, 559, 0.483193
13, 39, 39, 0.042321, 0.046695, 0.042321, 0.009717, 512, 0.380201, 0.321564, 256, 128, 64, 0.884136, 44671, 72523, 7895, 7463, 0.427141, 0.947268, 7223, 6699, 144, 631, 0.610251
14, 21, 27, 0.034938, 0.040086, 0.034938, 0.009563, 256, 0.192026, 0.111628, 128, 128, 64, 0.452079, 33679, 26245, 54173, 18455, 0.539332, 0.957951, 7373, 6706, 137, 481, 0.641328
15, 27, 42, 0.030719, 0.034249, 0.030719, 0.006509, 256, 0.071629, 0.126271, 64, 128, 64, 0.396305, 28690, 23841, 56577, 23444, 0.565888, 0.959924, 7312, 6796, 47, 542, 0.688793
16, 45, 53, 0.033616, 0.038229, 0.033616, 0.006346, 512, 0.240367, 0.207741, 64, 128, 128, 0.544850, 36406, 35815, 44603, 15728, 0.484864, 0.961693, 7403, 6731, 112, 451, 0.580748
17, 23, 23, 0.035578, 0.043595, 0.035578, 0.002830, 512, 0.269212, 0.380016, 256, 128, 64, 0.577147, 34106, 42396, 38022, 18028, 0.583635, 0.948493, 7171, 6769, 74, 683, 0.695112
18, 37, 41, 0.030818, 0.034606, 0.030818, 0.002815, 256, 0.170517, 0.305428, 128, 256, 64, 0.764643, 43522, 57833, 22585, 8612, 0.538748, 0.962169, 7357, 6784, 59, 497, 0.629489
