Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 83, 45, 0.035579, 0.047226, 0.035579, 0.004427, 64, 0.160376, 0.367107, 512, 128, 64, 0.716375, 43745, 51212, 29206, 8389, 0.471908, 0.953324, 7364, 6647, 196, 490, 0.577616
1, 17, 11, 0.050482, 0.071566, 0.050482, 0.003900, 64, 0.348754, 0.257640, 256, 128, 128, 0.908398, 44598, 75812, 4606, 7536, 0.489647, 0.931415, 7055, 6634, 209, 799, 0.576482
2, 51, 43, 0.027068, 0.032325, 0.027068, 0.003443, 512, 0.072572, 0.236343, 512, 128, 64, 0.870074, 40792, 74538, 5880, 11342, 0.442864, 0.967612, 7473, 6748, 95, 381, 0.656418
3, 218, 77, 0.018430, 0.022201, 0.018430, 0.000358, 32, 0.058649, 0.422212, 512, 256, 128, 0.712007, 47059, 47319, 33099, 5075, 0.373408, 0.972239, 7489, 6800, 43, 365, 0.735166
4, 55, 42, 0.027765, 0.031772, 0.027765, 0.008726, 128, 0.016617, 0.044310, 512, 128, 128, 0.851379, 43654, 69198, 11220, 8480, 0.347576, 0.963598, 7400, 6762, 81, 454, 0.616148
5, 33, 16, 0.051433, 0.061644, 0.051433, 0.004311, 32, 0.476214, 0.140690, 256, 128, 64, 0.920054, 46155, 75800, 4618, 5979, 0.523576, 0.935701, 7130, 6622, 221, 724, 0.553248
6, 46, 30, 0.033878, 0.043636, 0.033878, 0.004700, 64, 0.080781, 0.378592, 256, 256, 64, 0.661499, 41587, 46096, 34322, 10547, 0.726354, 0.961761, 7446, 6689, 154, 408, 0.594274
7, 160, 65, 0.017953, 0.021805, 0.017953, 0.000292, 32, 0.155582, 0.103350, 256, 256, 128, 0.636422, 39435, 44924, 35494, 12699, 0.261152, 0.974349, 7517, 6803, 40, 337, 0.671873
8, 123, 57, 0.026138, 0.029196, 0.026138, 0.002335, 64, 0.032643, 0.261319, 512, 256, 128, 0.872933, 38244, 77465, 2953, 13890, 0.895798, 0.959175, 7305, 6792, 51, 549, 0.705309
9, 64, 36, 0.044934, 0.045467, 0.044934, 0.005705, 256, 0.372315, 0.060451, 512, 256, 128, 0.517133, 36674, 31873, 48545, 15460, 0.618981, 0.939852, 7099, 6714, 129, 755, 0.560058
10, 55, 41, 0.020673, 0.023220, 0.020673, 0.000360, 128, 0.000503, 0.310194, 256, 256, 128, 0.682313, 34315, 56127, 24291, 17819, 0.435077, 0.972103, 7500, 6787, 56, 354, 0.668270
11, 95, 69, 0.026717, 0.031850, 0.026717, 0.003263, 128, 0.135355, 0.049615, 512, 128, 64, 0.570787, 30802, 44857, 35561, 21332, 0.343259, 0.964006, 7387, 6781, 62, 467, 0.624992
12, 100, 68, 0.023650, 0.028472, 0.023650, 0.007371, 512, 0.005863, 0.231039, 512, 256, 128, 0.793575, 43549, 61641, 18777, 8585, 0.317937, 0.968225, 7471, 6759, 84, 383, 0.642059
13, 61, 43, 0.025253, 0.027396, 0.025253, 0.009717, 512, 0.003015, 0.154532, 512, 256, 64, 0.909469, 43120, 77432, 2986, 9014, 0.244274, 0.965231, 7429, 6757, 86, 425, 0.663885
14, 50, 33, 0.036787, 0.045352, 0.036787, 0.009563, 256, 0.192026, 0.111628, 512, 256, 64, 0.496696, 42647, 23191, 57227, 9487, 0.526210, 0.958087, 7404, 6677, 166, 450, 0.584004
15, 41, 28, 0.031724, 0.036942, 0.031724, 0.006509, 256, 0.071629, 0.126271, 256, 256, 64, 0.576596, 42685, 33744, 46674, 9449, 0.937700, 0.959448, 7311, 6790, 53, 543, 0.673765
16, 21, 13, 0.045504, 0.054592, 0.045504, 0.006346, 512, 0.386524, 0.131952, 512, 256, 128, 0.905584, 45280, 74757, 5661, 6854, 0.481965, 0.945363, 7269, 6625, 218, 585, 0.566093
17, 70, 51, 0.031564, 0.035448, 0.031564, 0.002830, 128, 0.202404, 0.127487, 512, 128, 128, 0.589927, 43127, 35069, 45349, 9007, 0.865283, 0.958495, 7316, 6771, 72, 538, 0.605230
18, 48, 40, 0.032356, 0.038269, 0.032356, 0.002815, 256, 0.170517, 0.305428, 512, 128, 64, 0.891273, 46481, 71659, 8759, 5653, 0.503729, 0.960808, 7417, 6704, 139, 437, 0.600971
19, 27, 21, 0.050007, 0.053876, 0.050007, 0.009472, 128, 0.411328, 0.008747, 512, 128, 64, 0.919149, 46920, 74915, 5503, 5214, 0.540772, 0.932911, 7065, 6646, 197, 789, 0.568189
20, 157, 62, 0.025199, 0.031842, 0.025199, 0.000494, 32, 0.291633, 0.470429, 256, 256, 128, 0.855989, 45072, 68391, 12027, 7062, 0.465163, 0.968769, 7492, 6746, 97, 362, 0.625915
21, 71, 28, 0.035376, 0.043369, 0.035376, 0.001564, 32, 0.249215, 0.499938, 256, 256, 128, 0.735085, 37839, 59598, 20820, 14295, 0.543203, 0.954481, 7344, 6684, 159, 510, 0.593266
22, 155, 61, 0.028630, 0.034096, 0.028630, 0.001450, 32, 0.113924, 0.435196, 256, 256, 128, 0.877550, 44850, 71471, 8947, 7284, 1.259177, 0.965163, 7431, 6754, 89, 423, 0.631413
23, 195, 77, 0.020273, 0.022953, 0.020273, 0.000190, 32, 0.242974, 0.187064, 256, 256, 128, 0.797453, 42771, 62933, 17485, 9363, 0.330686, 0.971695, 7481, 6800, 43, 373, 0.704136
24, 82, 31, 0.035898, 0.043075, 0.035898, 0.001315, 32, 0.314388, 0.425349, 256, 256, 128, 0.586909, 36804, 40992, 39426, 15330, 0.469254, 0.955297, 7340, 6700, 143, 514, 0.630972
25, 122, 49, 0.022956, 0.028628, 0.022956, 0.001074, 32, 0.117939, 0.183393, 256, 256, 128, 0.918553, 47008, 74748, 5670, 5126, 0.594892, 0.971627, 7512, 6768, 75, 342, 0.650858
26, 202, 79, 0.017863, 0.019285, 0.017863, 0.000198, 32, 0.050901, 0.354005, 256, 256, 128, 0.858063, 46995, 66743, 13675, 5139, 0.389555, 0.971083, 7462, 6810, 33, 392, 0.754513
27, 91, 36, 0.036172, 0.041265, 0.036172, 0.002079, 32, 0.200963, 0.336353, 256, 256, 128, 0.612809, 39885, 41344, 39074, 12249, 0.535667, 0.956862, 7378, 6685, 158, 476, 0.594520
28, 33, 13, 0.049485, 0.067033, 0.049485, 0.007996, 32, 0.147774, 0.375124, 256, 256, 128, 0.906806, 47702, 72497, 7921, 4432, 0.510844, 0.942709, 7267, 6588, 255, 587, 0.554727
29, 77, 31, 0.034318, 0.042672, 0.034318, 0.005493, 32, 0.097214, 0.081403, 256, 256, 128, 0.496613, 41896, 23931, 56487, 10238, 0.637292, 0.957202, 7376, 6692, 151, 478, 0.624916
Best model
{'batch_size': 32, 'dropout_rate': 0.050900502187332886, 'dropout_rate_1': 0.3540046781514681, 'layer': 256, 'layer_1': 256, 'layer_2': 128, 'lr': 0.00019807378954327174}
