Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 144, 43, 0.046026, 0.054632, 0.046026, 0.004427, 64, 0.160376, 0.367107, 512, 128, 64, 0.730543, 32544, 21137, 13074, 6726, 0.763922, 0.977330, 10099, 15811, 273, 328, 0.782330
1, 146, 52, 0.053052, 0.061686, 0.053052, 0.003900, 64, 0.348754, 0.257640, 256, 128, 128, 0.691458, 36743, 14066, 20145, 2527, 0.720971, 0.974350, 10020, 15811, 273, 407, 0.782330
2, 92, 43, 0.040162, 0.049117, 0.040162, 0.003443, 512, 0.072572, 0.236343, 512, 128, 64, 0.798710, 36482, 22208, 12003, 2788, 0.788709, 0.981064, 10169, 15840, 244, 258, 0.782330
3, 247, 39, 0.029560, 0.037729, 0.029560, 0.000358, 32, 0.058649, 0.422212, 512, 256, 128, 0.795485, 37479, 20974, 13237, 1791, 0.794602, 0.984912, 10191, 15920, 164, 236, 0.788638
4, -, -, -, -, -, 0.008726, 128, 0.016617, 0.044310, 512, 128, 128, FAIL
5, 291, 63, 0.054396, 0.062783, 0.054396, 0.004311, 32, 0.476214, 0.140690, 256, 128, 64, 0.792259, 36809, 21407, 12804, 2461, 0.733243, 0.973256, 10082, 15720, 364, 345, 0.776194
6, 56, 20, 0.055288, 0.066911, 0.055288, 0.004700, 64, 0.080781, 0.378592, 256, 256, 64, 0.850955, 35345, 27184, 7027, 3925, 0.776194, 0.972691, 10076, 15711, 373, 351, 0.782330
7, 458, 80, 0.020457, 0.029167, 0.020457, 0.000292, 32, 0.155582, 0.103350, 256, 256, 128, 0.649746, 33842, 13902, 20309, 5428, 0.845519, 0.990872, 10296, 15973, 111, 131, 0.788810
8, 269, 69, 0.023127, 0.033331, 0.023127, 0.002335, 64, 0.032643, 0.261319, 512, 256, 128, 0.772268, 37581, 19166, 15045, 1689, 0.776718, 0.989023, 10279, 15941, 143, 148, 0.782630
9, 59, 21, 0.073644, 0.082472, 0.073644, 0.005705, 256, 0.372315, 0.060451, 512, 256, 128, 0.864972, 33712, 29847, 4364, 5558, 0.641493, 0.964241, 9878, 15685, 399, 549, 0.776194
