Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 162, 43, 0.023846, 0.028367, 0.023846, 0.004427, 64, 0.160376, 0.367107, 512, 128, 64, 0.825451, 33296, 27359, 6852, 5974, 0.503368, 0.970465, 9884, 15844, 240, 543, 0.574493
1, 104, 31, 0.026956, 0.032923, 0.026956, 0.003900, 64, 0.348754, 0.257640, 256, 128, 128, 0.830813, 31549, 29500, 4711, 7721, 0.418877, 0.968089, 9829, 15836, 248, 598, 0.538115
2, 219, 78, 0.017998, 0.021075, 0.017998, 0.003443, 512, 0.072572, 0.236343, 512, 128, 64, 0.881303, 36222, 28537, 5674, 3048, 0.452611, 0.978122, 10015, 15916, 168, 412, 0.545129
3, 554, 78, 0.008650, 0.011395, 0.008650, 0.000358, 32, 0.058649, 0.422212, 512, 256, 128, 0.835862, 37292, 24128, 10083, 1978, 0.500679, 0.988458, 10164, 16041, 43, 263, 0.680557
4, 159, 58, 0.019737, 0.023308, 0.019737, 0.008726, 128, 0.016617, 0.044310, 512, 128, 128, 0.782284, 30448, 27035, 7176, 8822, 0.488397, 0.975406, 9926, 15933, 151, 501, 0.638280
5, 146, 28, 0.031531, 0.035713, 0.031531, 0.004311, 32, 0.476214, 0.140690, 256, 128, 64, 0.856847, 33882, 29080, 5131, 5388, 0.285931, 0.965222, 9754, 15835, 249, 673, 0.525808
6, 99, 30, 0.023259, 0.027340, 0.023259, 0.004700, 64, 0.080781, 0.378592, 256, 256, 64, 0.847852, 33991, 28310, 5901, 5279, 0.492483, 0.971144, 9842, 15904, 180, 585, 0.595201
7, 583, 90, 0.008123, 0.010521, 0.008123, 0.000292, 32, 0.155582, 0.103350, 256, 256, 128, 0.841347, 32893, 28930, 5281, 6377, 0.612817, 0.985742, 10079, 16054, 30, 348, 0.745628
8, 197, 43, 0.017419, 0.019461, 0.017419, 0.002335, 64, 0.032643, 0.261319, 512, 256, 128, 0.798057, 30368, 28274, 5937, 8902, 0.465287, 0.978009, 9944, 15984, 100, 483, 0.656890
9, 120, 38, 0.029754, 0.031083, 0.029754, 0.005705, 256, 0.372315, 0.060451, 512, 256, 128, 0.865761, 32401, 31216, 2995, 6869, 0.426370, 0.970578, 9911, 15820, 264, 516, 0.502896
10, 197, 74, 0.007697, 0.008405, 0.007697, 0.000360, 128, 0.000503, 0.310194, 256, 256, 128, 0.763585, 33569, 22540, 11671, 5701, 0.524881, 0.981215, 9941, 16072, 12, 486, 0.853264
11, 134, 51, 0.018065, 0.020938, 0.018065, 0.003263, 128, 0.135355, 0.049615, 512, 128, 64, 0.774227, 30654, 26237, 7974, 8616, 0.400375, 0.976727, 9983, 15911, 173, 444, 0.579849
12, 221, 65, 0.017254, 0.020358, 0.017254, 0.007371, 512, 0.005863, 0.231039, 512, 256, 128, 0.719928, 29982, 22919, 11292, 9288, 0.564312, 0.978160, 9951, 15981, 103, 476, 0.559904
13, 106, 33, 0.019102, 0.022897, 0.019102, 0.009717, 512, 0.003015, 0.154532, 512, 256, 64, 0.825887, 31742, 28945, 5266, 7528, 0.451056, 0.967372, 9636, 16010, 74, 791, 0.768965
14, 84, 30, 0.027262, 0.031995, 0.027262, 0.009563, 256, 0.192026, 0.111628, 512, 256, 64, 0.861025, 32545, 30724, 3487, 6725, 0.376058, 0.967108, 9870, 15769, 315, 557, 0.500947
15, 129, 64, 0.016589, 0.021938, 0.016589, 0.006509, 256, 0.071629, 0.126271, 256, 256, 64, 0.856425, 34102, 28829, 5382, 5168, 0.449601, 0.980272, 10109, 15879, 205, 318, 0.554512
16, 100, 29, 0.029535, 0.033165, 0.029535, 0.006346, 512, 0.386524, 0.131952, 512, 256, 128, 0.780419, 27524, 29822, 4389, 11746, 0.373689, 0.966127, 9765, 15848, 236, 662, 0.541704
17, 94, 32, 0.023754, 0.026980, 0.023754, 0.002830, 128, 0.202404, 0.127487, 512, 128, 128, 0.855214, 31884, 30958, 3253, 7386, 0.465829, 0.970239, 9898, 15824, 260, 529, 0.575436
18, 99, 43, 0.022206, 0.026949, 0.022206, 0.002815, 256, 0.170517, 0.305428, 512, 128, 64, 0.826989, 32078, 28690, 5521, 7192, 0.442078, 0.972049, 9947, 15823, 261, 480, 0.550599
19, 88, 33, 0.032142, 0.033347, 0.032142, 0.009472, 128, 0.411328, 0.008747, 512, 128, 64, 0.857392, 32071, 30931, 3280, 7199, 0.355927, 0.964354, 9750, 15816, 268, 677, 0.515395
20, 361, 55, 0.019532, 0.021425, 0.019532, 0.000494, 32, 0.291633, 0.322042, 256, 256, 128, 0.868347, 34465, 29342, 4869, 4805, 0.472465, 0.975369, 9881, 15977, 107, 546, 0.610123
21, 295, 41, 0.020885, 0.027380, 0.020885, 0.001400, 32, 0.249215, 0.486980, 256, 256, 128, 0.827887, 31214, 29620, 4591, 8056, 0.519598, 0.974539, 9893, 15943, 141, 534, 0.627033
22, 230, 78, 0.013687, 0.017935, 0.013687, 0.001450, 128, 0.123513, 0.174389, 256, 256, 128, 0.737565, 35684, 18513, 15698, 3586, 0.526933, 0.982800, 10074, 15981, 103, 353, 0.612390
