Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 38, 19, 0.038360, 0.045752, 0.038360, 0.006956, 64, 0.160376, 0.367107, 224, 128, 64, 0.808754, 43448, 63754, 16664, 8686, 0.462759, 0.948289, 7233, 6704, 139, 621, 0.638422
1, 44, 22, 0.041365, 0.047327, 0.041365, 0.004310, 64, 0.348754, 0.257640, 224, 128, 64, 0.917248, 44913, 76670, 3748, 7221, 0.469954, 0.942641, 7126, 6728, 115, 728, 0.614892
2, 25, 26, 0.033259, 0.036247, 0.033259, 0.007303, 512, 0.072572, 0.236343, 224, 128, 64, 0.894804, 41149, 77459, 2959, 10985, 0.872212, 0.951351, 7187, 6795, 48, 667, 0.720036
3, 56, 23, 0.034678, 0.040420, 0.034678, 0.005397, 32, 0.058649, 0.422212, 224, 128, 64, 0.808536, 43456, 63717, 16701, 8678, 0.609886, 0.958087, 7311, 6770, 73, 543, 0.706371
4, 100, 86, 0.016005, 0.018883, 0.016005, 0.002408, 128, 0.016617, 0.044310, 224, 128, 64, 0.907772, 43604, 76723, 3695, 8530, 0.566195, 0.979452, 7589, 6806, 37, 265, 0.676267
5, 47, 19, 0.058278, 0.060554, 0.058278, 0.007454, 32, 0.476214, 0.140690, 224, 128, 64, 0.915980, 44929, 76486, 3932, 7205, 0.527674, 0.923182, 6902, 6666, 177, 952, 0.549500
6, 102, 50, 0.032048, 0.035318, 0.032048, 0.004033, 64, 0.080781, 0.378592, 224, 128, 64, 0.424098, 17867, 38348, 42070, 34267, 0.744827, 0.955977, 7261, 6789, 54, 593, 0.647656
7, 166, 65, 0.019812, 0.024206, 0.019812, 0.000900, 32, 0.155582, 0.103350, 224, 128, 64, 0.907312, 44003, 76263, 4155, 8131, 0.365102, 0.973940, 7515, 6799, 44, 339, 0.643482
8, 47, 23, 0.034478, 0.039687, 0.034478, 0.007384, 64, 0.032643, 0.261319, 224, 128, 64, 0.888746, 43601, 74204, 6214, 8533, 0.545902, 0.950398, 7208, 6760, 83, 646, 0.726625
9, 24, 26, 0.038062, 0.044179, 0.038062, 0.002174, 256, 0.372315, 0.060451, 224, 128, 64, 0.909960, 44284, 76333, 4085, 7850, 0.572010, 0.947676, 7153, 6775, 68, 701, 0.644166
10, 99, 82, 0.015644, 0.018587, 0.015644, 0.001131, 128, 0.000503, 0.310194, 224, 128, 64, 0.788430, 42818, 61690, 18728, 9316, 0.240723, 0.977410, 7541, 6824, 19, 313, 0.739829
11, 55, 45, 0.028369, 0.033697, 0.028369, 0.003120, 128, 0.135355, 0.049615, 224, 128, 64, 0.823782, 35258, 73936, 6482, 16876, 0.405034, 0.961489, 7342, 6789, 54, 512, 0.654767
12, 23, 24, 0.029022, 0.031357, 0.029022, 0.008077, 512, 0.005863, 0.231039, 224, 128, 64, 0.872978, 41374, 74341, 6077, 10760, 0.415033, 0.955365, 7236, 6805, 38, 618, 0.751906
13, 102, 111, 0.015011, 0.017415, 0.015011, 0.005221, 512, 0.003015, 0.154532, 224, 128, 64, 0.914766, 43234, 78020, 2398, 8900, 0.413191, 0.977955, 7555, 6818, 25, 299, 0.726790
14, 16, 19, 0.035604, 0.040599, 0.035604, 0.005274, 256, 0.192026, 0.111628, 224, 128, 64, 0.420703, 28806, 26959, 53459, 23328, 0.736964, 0.946792, 7153, 6762, 81, 701, 0.694453
15, 67, 74, 0.025136, 0.028958, 0.025136, 0.007009, 256, 0.071629, 0.126271, 224, 128, 64, 0.903434, 44279, 75473, 4945, 7855, 0.540540, 0.968837, 7453, 6786, 57, 401, 0.667861
16, 12, 13, 0.046232, 0.052928, 0.046232, 0.006661, 512, 0.386524, 0.131952, 224, 128, 64, 0.922483, 45379, 76898, 3520, 6755, 0.541586, 0.933184, 7020, 6695, 148, 834, 0.625816
17, 34, 29, 0.036181, 0.041561, 0.036181, 0.008125, 128, 0.202404, 0.127487, 224, 128, 64, 0.480626, 37467, 26241, 54177, 14667, 0.522776, 0.949718, 7225, 6733, 110, 629, 0.644160
18, 30, 34, 0.036938, 0.041871, 0.036938, 0.009613, 256, 0.170517, 0.305428, 224, 128, 64, 0.569791, 35443, 40084, 40334, 16691, 0.511215, 0.952371, 7241, 6756, 87, 613, 0.629655
19, 132, 115, 0.019718, 0.021273, 0.019718, 0.000216, 128, 0.411328, 0.008747, 224, 128, 64, 0.888859, 41816, 76004, 4414, 10318, 0.525202, 0.972579, 7490, 6804, 39, 364, 0.695612
20, 27, 29, 0.032251, 0.039535, 0.032251, 0.001451, 512, 0.282661, 0.192587, 224, 128, 64, 0.861594, 41934, 72272, 8146, 10200, 0.623997, 0.955093, 7256, 6781, 62, 598, 0.691465
21, 25, 26, 0.036716, 0.042375, 0.036716, 0.003907, 512, 0.264140, 0.486980, 224, 128, 64, 0.820508, 40225, 68535, 11883, 11909, 0.600562, 0.952779, 7250, 6753, 90, 604, 0.646012
22, 34, 30, 0.033165, 0.041113, 0.033165, 0.006010, 128, 0.118023, 0.319618, 224, 128, 64, 0.440521, 25184, 33208, 47210, 26950, 0.701872, 0.954208, 7261, 6763, 80, 593, 0.704353
23, 59, 51, 0.021137, 0.024312, 0.021137, 0.003163, 128, 0.004812, 0.179693, 224, 128, 64, 0.800403, 32296, 73799, 6619, 19838, 0.244324, 0.972988, 7495, 6805, 38, 359, 0.715039
24, 30, 32, 0.036611, 0.041784, 0.036611, 0.004732, 512, 0.226992, 0.473160, 224, 128, 64, 0.867758, 42008, 73015, 7403, 10126, 0.623359, 0.953664, 7250, 6766, 77, 604, 0.637259
25, 34, 37, 0.037739, 0.041314, 0.037739, 0.005943, 512, 0.294879, 0.307216, 224, 128, 64, 0.752301, 37986, 61733, 18685, 14148, 0.541117, 0.950534, 7226, 6744, 99, 628, 0.620958
26, 138, 123, 0.014042, 0.015460, 0.014042, 0.000272, 128, 0.107004, 0.186762, 224, 128, 64, 0.632431, 38711, 45119, 35299, 13423, 0.185844, 0.976254, 7520, 6828, 15, 334, 0.800488
27, 30, 26, 0.033646, 0.040703, 0.033646, 0.008829, 128, 0.108803, 0.186950, 224, 128, 64, 0.490072, 21765, 43195, 37223, 30369, 0.790047, 0.947540, 7171, 6755, 88, 683, 0.676442
28, 138, 150, 0.015714, 0.013283, 0.015714, 0.000145, 512, 0.045557, 0.003012, 224, 128, 64, 0.841489, 45944, 65597, 14821, 6190, 0.374842, 0.972103, 7461, 6826, 17, 393, 0.781553
29, 75, 31, 0.028392, 0.033650, 0.028392, 0.003356, 32, 0.092788, 0.078066, 224, 128, 64, 0.534492, 33708, 37140, 43278, 18426, 0.462408, 0.965707, 7417, 6776, 67, 437, 0.664943
Best model
{'batch_size': 128, 'dropout_rate': 0.10700429674740011, 'dropout_rate_1': 0.18676172291264903, 'lr': 0.0002719551626118792, 'lr_1': 1, 'lr_2': 1, 'lr_3': 1, 'layer': 224, 'layer_1': 128, 'layer_2': 64}
